,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution
M L Marazita,6,80,5.0,1.1643505669039151e-05,0.0019011406844106464,,
Perminder S Sachdev,6,175,5.0,8.3241088472078e-06,0.031222579701667155,,
Nicola J Armstrong,6,175,5.0,8.3241088472078e-06,0.031222579701667155,,
Judith A Badner,6,80,5.0,0.000305064033633546,0.01272301842644048,,
Stanley J Szefler,6,80,5.0,1.2960702399651993e-05,0.00402164375548406,,
Zari Dastani,5,673,5.0,8.975251762969981e-05,0.07180462123427903,,
Nir Barzilai,6,80,5.0,7.867182477755245e-05,0.0201082187774203,,
J R Shaffer,6,80,5.0,1.1643505669039151e-05,0.0019011406844106464,,
Brendan Keating,5,174,5.0,9.921480455441896e-06,0.014989763088622404,,
John Rice,6,81,5.0,0.0001972825237734089,0.013892951155308569,,
Jaw-Wen Chen,6,88,5.0,5.398250436922184e-07,0.0019011406844106464,,
J L Kennedy,6,186,5.0,7.109020083056152e-05,0.009505703422053232,,
Christa Stegmaier,6,756,5.0,3.3395392029239794e-05,0.048405966656917224,,
Jean-Pierre Kahn,5,110,5.0,2.8640775395238025e-05,0.014258555133079848,,
Koichi Akiyama,5,106,5.0,1.8278863820599066e-05,0.023179292190699034,,
Szabolcs Szelinger,5,129,5.0,0.00031862421605825987,0.012942380813103246,,
James J Yang,5,129,5.0,0.00012847789347689007,0.03217315004387248,,
Sabine Behrens,5,129,5.0,1.6914685593536187e-06,0.027347177537291604,,
Mary Susan Burnett,5,943,5.0,9.036374490200634e-06,0.020693185141854344,,
Antje Fischer-Rosinsky,6,945,5.0,1.627174395281255e-05,0.043068148581456564,,
Melanie E Garrett,5,128,5.0,5.502125179776654e-06,0.001974261479964902,,
Ilaria Gandin,6,128,5.0,1.658906732580532e-05,0.049064053816905526,,
Jingyun Yang,6,108,5.0,6.338977266578683e-05,0.045481134834747,,
Joachim Spranger,6,945,5.0,1.627174395281255e-05,0.043068148581456564,,
Hayan Jouni,5,127,5.0,1.0230686924500211e-06,0.002559227844398947,,
P Lichtenstein,5,127,5.0,0.0007662573368156115,0.009651945013161743,,
Philip Van Damme,5,108,5.0,4.827425172184815e-06,0.009286341035390465,,
Rosie Cooke,5,108,5.0,3.494907763305821e-06,0.007238958759871308,,
Annette F Baas,5,127,5.0,1.7764455010472925e-05,0.013892951155308569,,
Jan D Blankensteijn,5,127,5.0,1.7764455010472925e-05,0.013892951155308569,,
Peter J Wagner,5,947,5.0,2.0741078749398878e-05,0.05330505995905235,,
Harshal A Deshmukh,6,126,5.0,3.2813629759821344e-05,0.01286926001754899,,
Sheila J Barton,5,126,5.0,5.7598293640793484e-05,0.02376425855513308,,
Surakameth Mahasirimongkol,5,108,5.0,9.091105777226838e-07,0.0010236911377595789,,
Helen M Colhoun,6,126,5.0,3.2813629759821344e-05,0.01286926001754899,,
Hideo Nakanishi,5,109,5.0,3.556347164788428e-06,0.006873354782100029,,
Chiara Lanzani,5,997,5.0,3.80991921349803e-05,0.029394559812810764,,
Bruce Psaty,5,129,5.0,9.88770795905305e-06,0.02193623866627669,,
O Mors,5,106,5.0,3.9242570031283685e-06,0.008116408306522375,,
Daniel E Adkins,6,106,5.0,5.288422731205488e-05,0.009651945013161743,,
Alice V Stanton,5,889,5.0,2.1273879228620947e-05,0.05374378473237789,,
Caterina Barbieri,5,49,5.0,1.4431764029763357e-05,0.034659257092717166,,
Kyung-Won Hong,5,26,5.0,2.0826642979594394e-08,0.0009505703422053232,,
Jun Wang,5,135,5.0,8.85469804883483e-05,0.008482012284293653,,
Ghazaleh Fatemifar,5,103,5.0,1.643836403055333e-05,0.030052646972799062,,
Mikael Eriksson,5,135,5.0,2.1320835741341503e-06,0.036194793799356535,,
Sei-Hyun Ahn,5,1111,5.0,1.4407814387226451e-05,0.015428487861947938,,
Kristin M Burkart,5,135,5.0,1.673363992514491e-05,0.023837379350687336,,
Nifang Niu,6,135,5.0,3.6303332838657265e-07,0.001389295115530857,,
Franz Ruschendorf,7,134,5.0,4.398132087043864e-05,0.01623281661304475,,
Peter Wurtz,5,889,5.0,7.290205574291428e-06,0.032831237203860775,,
Adam E Locke,5,1093,5.0,7.72391823810951e-05,0.045481134834747,,
Werner Poewe,6,130,5.0,1.6538266065464155e-05,0.008628253875402165,,
Bryan J Barratt,8,105,5.0,4.7085830418367677e-05,0.009066978648727698,,
Badri Padhukasahasram,5,105,5.0,0.00012057180081921593,0.020985668324071366,,
Thomas Berg,5,896,5.0,3.2647172477751544e-05,0.006069026031003217,,
Lin Tong,7,133,5.0,9.879150722943982e-05,0.02025446036852881,,
Ying Li,6,133,5.0,5.8668410248441644e-05,0.005045334893243638,,
Jozsef Bukszar,5,133,5.0,2.598913309096072e-06,0.0026323486399532025,,
Ava Kwong,5,106,5.0,8.742747738539413e-06,0.04767475870137467,,
Anders D Borglum,5,928,5.0,3.405996697231459e-05,0.02727405674173735,,
Peter Paul Pramstaller,5,932,5.0,6.936728741675806e-06,0.05089207370576192,,
Liancheng Zhao,5,131,5.0,1.0584020221247337e-06,0.004825972506580871,,
Sandra Barral,5,110,5.0,6.214779910227669e-05,0.028297747879496928,,
George Papanicolaou,8,125,5.0,1.9745331785092616e-05,0.015501608657502193,,
Hung-Yun Ho,6,88,5.0,5.398250436922184e-07,0.0019011406844106464,,
H Tiemeier,5,125,5.0,1.7302605167067894e-05,0.009432582626498976,,
Shohei Minami,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Hideki Sudo,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
M Isabel Lucena,5,118,5.0,4.4945001795622205e-06,0.0034366773910500144,,
Teppei Suzuki,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Kota Watanabe,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Yohei Takahashi,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Stefano Landi,5,115,5.0,2.9730062944615233e-05,0.011626206493126645,,
L J Bierut,5,118,5.0,2.4145168054283566e-05,0.006800233986545773,,
Koki Uno,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Mandy Y Ng,5,118,5.0,5.742289385405238e-07,0.003582918982158526,,
Hiroshi Taneichi,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Taichi Tsuji,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Manabu Ito,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Toshiaki Kotani,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Haruhisa Yanagida,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Noriaki Kawakami,5,118,5.0,2.676738237843678e-07,0.0034366773910500144,,
Zhi Wei,10,1015,5.0,3.7322204968408206e-05,0.011772448084235157,,
Joseph M Devaney,5,1020,5.0,1.0438916127798701e-05,0.026615969581749048,,
Ingo Marenholz,8,117,5.0,3.37152467077902e-05,0.022228721848493713,,
Johan Sundstrom,8,1047,5.0,3.360431879488726e-05,0.06653992395437262,,
Ioannis Theodorou,6,116,5.0,4.357145448377961e-05,0.006873354782100029,,
Jorge Esparza-Gordillo,6,116,5.0,1.4339493380437048e-05,0.015355367066393682,,
Niels Weinhold,8,116,5.0,3.4024431765903194e-06,0.006653992395437262,,
David C Johnson,5,114,5.0,2.7742255858830374e-06,0.00636150921322024,,
Reena Mehra,5,114,5.0,2.25717319891152e-06,0.015428487861947938,,
Mark W Logue,6,119,5.0,1.2385639423096602e-05,0.005264697279906405,,
Weiliang Qiu,6,112,5.0,1.6670110993475805e-05,0.00636150921322024,,
Frank Bellivier,5,110,5.0,2.8640775395238025e-05,0.014258555133079848,,
Isabella Fogh,5,110,5.0,3.7147581646346715e-06,0.008774495466510676,,
Bruno Etain,5,110,5.0,2.8640775395238025e-05,0.014258555133079848,,
Velandai Srikanth,5,111,5.0,6.989181991464893e-06,0.03129570049722141,,
Julia Mayerle,5,124,5.0,1.3705665573306287e-05,0.005922784439894706,,
Karl-Heinz Ladwig,5,123,5.0,9.141897670488324e-05,0.031661304474992685,,
Mary Frances Cotch,6,111,5.0,7.647947313123684e-07,0.009578824217607487,,
Chao A Hsiung,7,123,5.0,9.002740379690044e-05,0.022448084235156478,,
K D Taylor,5,112,5.0,0.0007493020522470707,0.009725065808715998,,
Guang Ning,5,112,5.0,6.789097126627731e-05,0.008408891488739398,,
Ilenia Zara,6,113,5.0,2.6339313807598623e-05,0.008628253875402165,,
Tim Kacprowski,5,25,5.0,5.439384583966505e-06,0.012357414448669201,,
C Hayward,5,113,5.0,4.86926864024935e-05,0.010090669786487276,,
Jonas Bacelis,8,121,5.0,5.6941840887374227e-05,0.028736472652822462,,
Corry-Anke Brandsma,5,25,5.0,4.276507192733006e-06,0.008555133079847909,,
M Mattheisen,6,121,5.0,0.0020079384878677778,0.007092717168762796,,
Karen A Pooley,5,1056,5.0,3.057114120318218e-05,0.023325533781807545,,
Sayuko Kobes,6,120,5.0,1.420645662736119e-05,0.003948522959929804,,
Gareth J Morgan,6,114,5.0,2.9734188262509285e-06,0.006507750804328751,,
Maija Hassinen,5,1007,5.0,5.236851059612195e-06,0.05155016086575022,,
Jong Won Lee,6,114,5.0,4.677153696656285e-05,0.04431120210587891,,
Ayman H Fanous,5,120,5.0,1.0910848565449558e-05,0.004167885346592571,,
Massimiliano Cocca,6,103,5.0,1.1954583764652933e-05,0.0364141561860193,,
Namrata Gupta,5,888,5.0,3.601303956343052e-05,0.010748756946475577,,
Taru Tukiainen,5,886,5.0,5.234331705090226e-06,0.032758116408306524,,
Elliot Israel,6,103,5.0,1.3828973594658814e-05,0.004167885346592571,,
Karoline B Kuchenbaecker,6,154,5.0,1.9174534677099182e-05,0.047967241883591694,,
Laima Tihomirova,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Ramunas Janavicius,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Orland Diez,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Francesca Damiola,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Uffe Birk Jensen,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Elizabeth J van Rensburg,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Adeline Seow,5,153,5.0,1.7735732812458222e-05,0.012576776835331968,,
Yongyue Wei,6,91,5.0,4.0994302149697746e-05,0.016964024568587307,,
Beverly M Snively,5,153,5.0,2.571213011464975e-05,0.013966071950862824,,
Shamira A Perera,5,91,5.0,3.6041769976083905e-05,0.01572097104416496,,
Hirotsugu Ueshima,5,631,5.0,4.246778180335945e-05,0.03948522959929804,,
Maria Argos,8,93,5.0,5.218642737772506e-05,0.006727113190991518,,
Siim Sober,5,799,5.0,7.699997058029014e-06,0.039558350394852296,,
Youfang Liu,9,151,5.0,0.00024374089100962537,0.03941210880374378,,
Per-Henrik Groop,6,93,5.0,1.4037777121943463e-06,0.005922784439894706,,
John P Newnham,5,151,5.0,3.4573463240027044e-06,0.02091254752851711,,
Carol Forsblom,6,93,5.0,1.4037777121943463e-06,0.005922784439894706,,
Maria Pina Concas,7,94,5.0,1.2408913495703137e-05,0.035390465048259726,,
Susan Ring,5,150,5.0,8.033060064486456e-06,0.020546943550745832,,
J Wang,6,94,5.0,0.0015580794122846354,0.010383152968704299,,
Maria Grazia Ennas,5,94,5.0,2.6529384506128224e-06,0.013673588768645802,,
Ellen M Schmidt,6,1166,5.0,1.709561543323688e-05,0.0519157648435215,,
Dongbing Lai,8,91,5.0,0.0002210924182099796,0.010602515355367065,,
Cecilia M Dorfling,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Edith Olah,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Liang Li,5,90,5.0,1.2181464376256557e-05,0.0021205030710734134,,
Natalia N Antonenkova,5,761,5.0,1.0196800215612473e-05,0.04197133664814273,,
Junwen Wang,5,761,5.0,0.00013876200214826546,0.019303890026323486,,
Hugues Sicotte,6,157,5.0,4.949196683822942e-05,0.011626206493126645,,
Shing-Jong Lin,6,88,5.0,5.398250436922184e-07,0.0019011406844106464,,
Xianyong Yin,5,89,5.0,0.00016350048487016685,0.008189529102076631,,
Harvey O Coxson,5,157,5.0,4.4027327044236784e-07,0.0038754021643755483,,
Gerard Tromp,6,89,5.0,3.722342814818372e-05,0.02157063468850541,,
Alexander P Maxwell,5,90,5.0,1.38072862196979e-06,0.0058496636443404505,,
Hans-Jorgen Grabe,5,765,5.0,1.767076272057534e-05,0.06266452178999707,,
Giancarlo Comi,6,768,5.0,4.8225899255388666e-05,0.015355367066393682,,
Federica Esposito,6,768,5.0,4.8225899255388666e-05,0.015355367066393682,,
Adriana I Iglesias,5,90,5.0,6.023924388429783e-07,0.009578824217607487,,
Joshua P Lewis,6,155,5.0,5.1934337992933976e-05,0.03129570049722141,,
Yuan Chun Ding,5,155,5.0,1.5886696642406894e-05,0.04474992687920445,,
Matthew L Freedman,5,155,5.0,4.0956286036411705e-05,0.023471775372916056,,
Farzana Jasmine,7,90,5.0,1.902477685912744e-05,0.005776542848786195,,
Lise Tarnow,5,90,5.0,7.964579797793956e-07,0.005191576484352149,,
Chien-Jen Chen,6,155,5.0,1.8571631852101892e-05,0.01221117285756069,,
Nikolaos A Patsopoulos,7,793,5.0,0.00019042303913845848,0.01835331968411816,,
Brandon L Pierce,6,90,5.0,1.8784790229984156e-05,0.005630301257677684,,
Lawrence J Beilin,6,90,5.0,5.580914009087369e-06,0.019303890026323486,,
Evgeny N Imyanitov,5,154,5.0,9.642589913567815e-06,0.047236033928049134,,
Nigel Arden,5,150,5.0,6.014187331418304e-07,0.007092717168762796,,
Rob A E M Tollenaar,5,1160,5.0,6.972013111786978e-06,0.03765720971044165,,
Lisa F Barcellos,6,1151,5.0,6.572990642579317e-05,0.013819830359754313,,
Karin Hek,5,139,5.0,9.933282329882773e-06,0.01608657502193624,,
Gerard Pasterkamp,5,873,5.0,1.4018000836367027e-05,0.057107341327873644,,
Kouya Shiraishi,5,142,5.0,7.030648225539702e-05,0.01974261479964902,,
Richard M Myers,5,141,5.0,4.1367707947794055e-05,0.003729160573267037,,
B Muller-Myhsok,7,140,5.0,0.0018642306997072972,0.010090669786487276,,
Ayse B Ozel,5,140,5.0,6.973338320720888e-05,0.01594033343082773,,
Ben Kinnersley,6,140,5.0,1.9316558578888448e-05,0.01608657502193624,,
Aron S Buchman,6,140,5.0,5.446820590573416e-06,0.028151506288388417,,
Krzysztof Kiryluk,5,875,5.0,0.0004293073638503475,0.04204445744369699,,
Dongshuang Guo,5,139,5.0,1.7899793355012365e-06,0.005484059666569173,,
Zhao Chen,6,102,5.0,2.5899181267536114e-05,0.02325241298625329,,
Ali G Gharavi,5,875,5.0,0.0004293073638503475,0.04204445744369699,,
Richard P Ebstein,5,142,5.0,0.00020842382555424747,0.013600467973091546,,
Xu Ji,5,139,5.0,1.7899793355012365e-06,0.005484059666569173,,
Anu Loukola,5,139,5.0,6.997123112533723e-06,0.02712781515062884,,
Peggy L Peissig,6,139,5.0,3.834319895745542e-05,0.011114360924246856,,
Li Chen,5,879,5.0,3.206396403167416e-06,0.01806083650190114,,
Merry-Lynn N McDonald,6,138,5.0,1.6658315495198335e-05,0.003729160573267037,,
Sander W van der Laan,7,882,5.0,3.076442058286317e-05,0.06741737350102368,,
Stephen J Sharp,5,1129,5.0,4.821474483731924e-06,0.050233986545773615,,
Holly Kramer,6,138,5.0,1.618974019037615e-06,0.024861070488446914,,
F Yesim Demirci,7,883,5.0,8.604612921186317e-05,0.011918689675343668,,
Soonil Kwon,5,137,5.0,2.469120046730469e-05,0.009286341035390465,,
Soriul Kim,5,101,5.0,6.204589195927454e-06,0.010894998537584088,,
Erin B Ware,6,101,5.0,0.0002959166836485644,0.0331237203860778,,
Alexander Kluttig,5,96,5.0,3.168218471249021e-05,0.04131324948815443,,
Hiroshi Ujike,5,145,5.0,3.250696826636165e-05,0.0032173150043872476,,
Kei Tashiro,6,96,5.0,0.00019198974741811426,0.010383152968704299,,
Masakazu Nakano,6,96,5.0,0.00019198974741811426,0.010383152968704299,,
Jeanette E Eckel-Passow,5,97,5.0,5.468635254979303e-05,0.01835331968411816,,
Frank Dudbridge,6,809,5.0,1.7420905169395187e-05,0.013161743199766013,,
Ville-Petteri Makinen,5,97,5.0,6.530174104017174e-06,0.00701959637320854,,
Torben A Kruse,5,147,5.0,1.72643285057338e-05,0.044896168470312955,,
Denis Evans,5,824,5.0,2.8818428803749088e-05,0.012064931266452179,,
Oscar Harari,5,146,5.0,1.0719338449579379e-05,0.0044603685288095935,,
Hideo Kunitoh,5,146,5.0,2.4751931656834624e-05,0.011626206493126645,,
Yeonjung Kim,5,98,5.0,6.906155988214084e-07,0.002559227844398947,,
Marie Loh,6,98,5.0,2.4887704655276682e-05,0.048625329043579996,,
Masahiro Nakatochi,6,142,5.0,6.950522154576994e-05,0.02120503071073413,,
John K Field,5,828,5.0,2.0323058559866397e-05,0.01806083650190114,,
Jeffrey Haessler,5,831,5.0,1.6249270678955093e-05,0.0487715706346885,,
Stefan Pilz,5,837,5.0,2.4636445060390335e-05,0.0428487861947938,,
Matthew H Law,5,99,5.0,1.2059803436434725e-05,0.010163790582041532,,
Jue Ji,5,99,5.0,2.8407036414604524e-05,0.004825972506580871,,
Jessica van Setten,6,844,5.0,3.69601467225968e-05,0.051330798479087454,,
Hiromi Rakugi,5,100,5.0,2.1561732330963753e-05,0.016452178999707516,,
Arlene B Chapman,6,100,5.0,3.457399760105622e-06,0.003582918982158526,,
Howard L McLeod,5,100,5.0,7.4283468721844705e-06,0.0024129862532904357,,
Peter M Nilsson,6,868,5.0,5.293057499199342e-05,0.03634103539046505,,
Ralf J P van der Valk,5,191,5.0,1.1151996829292222e-05,0.02559227844398947,,
Hartmut Goldschmidt,8,116,5.0,3.4024431765903194e-06,0.006653992395437262,,
J W Smoller,6,432,5.0,0.000868921446871,0.008262649897630887,,
Damjan Vukcevic,5,468,5.0,3.847369250192062e-06,0.012796139221994735,,
Sarah G Buxbaum,6,279,5.0,5.2455490844730494e-05,0.05038022813688213,,
Xiaomin Zhang,6,55,5.0,0.00010452979681853924,0.013015501608657502,,
Jonathan D Smith,7,481,5.0,4.362325924292789e-06,0.0187920444574437,,
Ann W Morgan,5,483,5.0,1.66814376205343e-05,0.0076045627376425855,,
Abdel Abdellaoui,7,351,5.0,2.4351869864269805e-05,0.04577361801696402,,
Eco J de Geus,8,229,5.0,8.257129119804398e-06,0.029394559812810764,,
Manuel Luedeke,5,349,5.0,7.835026893350833e-06,0.018499561275226672,,
Johannes Schumacher,5,485,5.0,9.971143745614151e-05,0.01857268207078093,,
Nicholas Timpson,5,347,5.0,7.290912623044137e-05,0.047455396314711906,,
Paul D Shilling,5,54,5.0,0.00012098550597583912,0.012284293653114946,,
Priyanka Sharma,6,226,5.0,1.763325810566498e-05,0.05111143609242468,,
Miguel A Gonzalez-Gay,7,497,5.0,9.09738107702036e-05,0.01155308569757239,,
Louise Izatt,5,282,5.0,2.1224461812595095e-05,0.04511553085697572,,
Nicole Probst-Hensch,6,282,5.0,2.55707621274103e-05,0.039558350394852296,,
Norbert Arnold,5,282,5.0,2.1224461812595095e-05,0.04511553085697572,,
Amanda Spurdle,6,469,5.0,1.955363376063764e-05,0.023983620941795847,,
Albert Rosenberger,6,357,5.0,6.955807189982516e-06,0.013673588768645802,,
Barbara Wappenschmidt,5,282,5.0,2.1224461812595095e-05,0.04511553085697572,,
Cheng Wang,5,61,5.0,7.540109076097313e-06,0.004899093302135127,,
Xiang-Pei Li,5,451,5.0,1.410529686985674e-05,0.007897045919859609,,
Suzanne M Leal,5,60,5.0,0.00013351932455408445,0.005995905235448962,,
Anke Hannemann,5,359,5.0,2.007836010658593e-05,0.0461392219947353,,
Susan H Blanton,6,60,5.0,5.453809004348827e-05,0.027859023106171395,,
Yue Pan,5,60,5.0,2.681249002450231e-07,0.0006580871599883006,,
Andres Ruiz-Linares,6,42,5.0,0.0003945822937915604,0.008993857853173443,,
Astanand Jugessur,5,236,5.0,1.0762765458700864e-05,0.03370868675051184,,
Niclas Eriksson,8,236,5.0,7.408946131551653e-06,0.002778590231061714,,
Xiaoyan Yin,5,235,5.0,8.967893260549485e-06,0.024714828897338403,,
Kuang Lin,5,466,5.0,2.538272115863616e-05,0.019230769230769232,,
Towfique Raj,6,467,5.0,0.00010319613758394414,0.011918689675343668,,
Rosalind Eeles,5,61,5.0,5.864271749232555e-06,0.0044603685288095935,,
Viorel Jinga,5,234,5.0,1.5177523246670385e-05,0.01674466218192454,,
Daniel J Gottlieb,5,234,5.0,6.101415986441443e-06,0.007750804328751097,,
Euijung Ryu,5,358,5.0,5.894687758396529e-05,0.01272301842644048,,
Scott A Melville,5,65,5.0,1.3764573590415166e-05,0.00870137467095642,,
Thomas Rudiger,5,343,5.0,1.0657894810971646e-05,0.035829189821585256,,
Sarah Wild,5,45,5.0,8.515006786196819e-06,0.047455396314711906,,
Suk-Kyun Yang,6,219,5.0,5.994958949995306e-05,0.007970166715413864,,
Jong Y Park,6,520,5.0,1.8261551865523928e-06,0.01586721263527347,,
Jacques Montplaisir,5,341,5.0,1.0413876026928407e-05,0.006727113190991518,,
Walther Vogel,5,520,5.0,1.3391235507007098e-06,0.015209125475285171,,
Chao-Qiang Lai,5,67,5.0,3.8565937905027654e-07,0.0022667446621819245,,
Fernando Rivera,5,218,5.0,3.10782795743337e-06,0.011845568879789412,,
Sharon J Diskin,6,340,5.0,1.599599700009926e-06,0.00350979818660427,,
Patricia Harrington,6,286,5.0,3.025616439278364e-05,0.0448230476747587,,
Mario Capasso,5,340,5.0,2.846721955485354e-07,0.0029248318221702253,,
Cashell E Jaquish,5,287,5.0,2.119835189803161e-05,0.01052939455981281,,
Sajjad Rafiq,5,216,5.0,8.79524930125554e-06,0.008408891488739398,,
Sara Marsal,5,68,5.0,4.792920744272954e-06,0.00233986545773618,,
James L Mills,5,216,5.0,1.2692165080312843e-05,0.004752851711026616,,
Edward F Attiyeh,5,337,5.0,1.377698221247526e-06,0.0034366773910500144,,
Ryozo Kuwano,5,68,5.0,5.0978889894067024e-05,0.0058496636443404505,,
Isabel Dos-Santos-Silva,5,53,5.0,4.6806743049910445e-05,0.05111143609242468,,
Tatjana Rundek,6,38,5.0,2.9568648293828694e-05,0.029687042995027786,,
Ling Oei,6,342,5.0,5.911482284792333e-06,0.019230769230769232,,
Jeremie Nsengimana,5,283,5.0,1.6162334858237483e-06,0.002997952617724481,,
Huji Xu,5,517,5.0,0.00018766096083591883,0.01689090377303305,,
Vessela N Kristensen,5,500,5.0,8.962632901258045e-06,0.039192746417081016,,
Mervi Grip,5,501,5.0,4.562456310104047e-06,0.03743784732377888,,
Agneta Siegbahn,5,502,5.0,5.892345021460295e-05,0.01893828604855221,,
Lars Wallentin,6,502,5.0,6.266049543543458e-05,0.01908452763966072,,
Alastair Compston,5,1458,5.0,1.947155100467464e-05,0.016305937408599005,,
John-Anker Zwart,6,222,5.0,2.4333717424699263e-06,0.013892951155308569,,
Solomon Musani,5,342,5.0,5.2624546881465246e-05,0.05030710734132787,,
Marie-Francoise Avril,5,283,5.0,1.4210363522757488e-06,0.00804328751096812,,
Isao Nakata,6,66,5.0,8.462544140720402e-06,0.007677683533196841,,
Wayne H-H Sheu,6,514,5.0,2.1529952450202505e-05,0.02895583503948523,,
Baosen Zhou,6,221,5.0,1.7320014510249434e-05,0.013015501608657502,,
Tetyana Zayats,6,221,5.0,6.310845541004475e-05,0.00921322023983621,,
Juan Carlos Souto,6,38,5.0,1.0182145472233132e-06,0.0034366773910500144,,
Rachel A Myers,6,264,5.0,6.536799073743118e-05,0.020985668324071366,,
Barbara Klanderman,7,220,5.0,1.8715062761438424e-05,0.004825972506580871,,
Brian L Browning,7,239,5.0,2.6945110083408938e-05,0.009066978648727698,,
Manuela Gago-Dominguez,6,240,5.0,2.8392076127825982e-05,0.04080140391927464,,
Jose R Rodriguez-Santana,5,60,5.0,3.2466388236339833e-06,0.004387247733255338,,
Michael J Birrer,5,408,5.0,1.1569878769531263e-05,0.030052646972799062,,
Xinwen Min,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
C Liu,6,258,5.0,0.00030602649497132964,0.00753144194208833,,
Jing Yuan,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
Ping Xu,5,257,5.0,5.67987019382722e-05,0.013600467973091546,,
Claes Ladenvall,8,377,5.0,0.00013184999367806888,0.04591985960807254,,
John Henderson,5,374,5.0,1.0021255084989645e-05,0.025811640830652238,,
Mingjian Lang,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
Paolo Airo,5,257,5.0,3.141874482064711e-05,0.007165837964317052,,
Gonzalo Laje,5,257,5.0,7.479971459752602e-05,0.023033050599590522,,
Miguel E Renteria,5,374,5.0,3.0559177722280877e-06,0.028297747879496928,,
Ingo Runnebaum,5,412,5.0,8.57033194317553e-06,0.0201082187774203,,
Natalia Pervjakova,5,255,5.0,3.087067605153427e-05,0.0578385492834162,,
Francisco X Real,5,255,5.0,3.760277402348838e-05,0.01806083650190114,,
Yunfeng He,6,58,5.0,1.5687094383596273e-05,0.00701959637320854,,
Dongfeng Li,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
Nora Pashayan,5,266,5.0,2.8411020735259012e-05,0.019230769230769232,,
Jiang Zhu,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
Richard B Horenstein,5,445,5.0,4.554036164930118e-07,0.0024129862532904357,,
Jacqueline M Lane,5,42,5.0,2.9356608545708503e-05,0.008482012284293653,,
Knut Krohn,6,382,5.0,8.123893013348026e-06,0.01988885639075753,,
Christine M Albert,5,263,5.0,1.3715625717412384e-05,0.029394559812810764,,
Patrick Neven,5,388,5.0,4.2651837756733135e-05,0.04650482597250658,,
Siqun L Zheng,5,389,5.0,1.8867191946313825e-05,0.012138052062006435,,
Liyong Wang,5,263,5.0,1.2133436109582763e-05,0.00402164375548406,,
Jessica A Turner,5,382,5.0,2.5727469217488973e-05,0.026250365603977772,,
Peter A Noseworthy,5,265,5.0,1.4246923587659114e-06,0.01835331968411816,,
Douglas Galasko,5,262,5.0,1.5308314998468237e-05,0.010383152968704299,,
Xiayun Dai,5,57,5.0,5.891987856194987e-07,0.0044603685288095935,,
Uzma Afzal,5,401,5.0,2.5944542360674778e-05,0.058131032465633226,,
Ronan Roussel,5,401,5.0,0.00014742955154598534,0.04584673881251828,,
P Hoffmann,6,57,5.0,0.00010615927127076027,0.013015501608657502,,
Dorret Boomsma,5,406,5.0,1.215342471034678e-05,0.027493419128400115,,
Elizabeth T Cirulli,5,259,5.0,0.00011702736466747085,0.008482012284293653,,
Bermseok Oh,5,379,5.0,2.7995132555579736e-06,0.00350979818660427,,
Monika Ridinger,6,420,5.0,1.8528587946468376e-05,0.008335770693185142,,
Fabiola Del Greco M,6,57,5.0,3.421389649759172e-05,0.0375840889148874,,
Elliot S Gershon,5,59,5.0,0.00012023079019373189,0.011479964902018134,,
Sang-Cheol Bae,8,373,5.0,5.0077799551151844e-05,0.008847616262064931,,
Dankyu Yoon,5,367,5.0,2.4140818286663105e-05,0.0044603685288095935,,
Hong Liu,5,246,5.0,1.2799551578525864e-05,0.0053378180754606605,,
Minae Kawashima,6,246,5.0,0.0009027023712256246,0.008408891488739398,,
Sima Jeha,5,59,5.0,1.3237665884594335e-05,0.0032173150043872476,,
Stephane Bourgeois,5,362,5.0,2.129485865932278e-05,0.004606610119918105,,
Bryan Kestenbaum,7,435,5.0,9.820328423205378e-06,0.024787949692892657,,
Thomas S Price,5,59,5.0,1.3869035618298754e-05,0.011845568879789412,,
Pirro Hysi,5,245,5.0,7.09058541832445e-05,0.015428487861947938,,
Emmanuelle Souzeau,5,274,5.0,9.11881889148733e-06,0.01623281661304475,,
