Number,In Charge,STUDY ACCCESSION,PUBMEDID,LINK,DATASETS,Consortia,NOTES
103,Xuejie,GCST002539,25056061,www.ncbi.nlm.nih.gov/pubmed/25056061,NO NAME; Thematically Organized Psychoses Research Study (TOP); Danish Psychiatric Central Register (DPCR); British 1958 Birth Cohort Study (B58C); Gottingen Research Association for Schizophrenia (GRAS); Estonian Genome Center of the University of Tartu (EGCUT); Molecular Genetics of Schizophrenia Collaboration (MGS); The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); The Singapore Translational and Clinical Research in Psychosis (STCRP); deCODE Genetics (deCODE),International Schizophrenia Consortium,
104,Xuejie,GCST002734,25551457,www.ncbi.nlm.nih.gov/pubmed/25551457,Atherosclerosis Risk in Communities Study (ARIC); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); Coronary Artery Risk Development in Young Adults (CARDIA); Cardiovascular Health Study (CHS); CROATIA-Vis Island Study (CROATIA-VIS); Framingham Heart Study (FHS); Helsinki Birth Cohort Study (HBCS); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Marseille Thrombosis Association (MARTHA); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Precocious Coronary Artery Disease Study (PROCARDIS); Precocious Coronary Artery Disease Study (PROCARDIS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Womens Genome Health Study (WGHS),CHARGE,
105,Xuejie,GCST002759,25628336,www.ncbi.nlm.nih.gov/pubmed/25628336,23andMe (23andMe),,
106,Xuejie,GCST004252,28322246,www.ncbi.nlm.nih.gov/pubmed/28322246,NO NAME; Thematically Organized Psychoses Research Study (TOP); Danish Psychiatric Central Register (DPCR); British 1958 Birth Cohort Study (B58C); Gottingen Research Association for Schizophrenia (GRAS); Estonian Genome Center of the University of Tartu (EGCUT); Molecular Genetics of Schizophrenia Collaboration (MGS); The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); The Singapore Translational and Clinical Research in Psychosis (STCRP); deCODE Genetics (deCODE),,"from my understanding, this one used the same data from 25056061"
107,Xuejie,GCST000167,18372903,www.ncbi.nlm.nih.gov/pubmed/18372903,"Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Wellcome Trust Case Control Consortium (WTCCC)",,
108,Xuejie,GCST004364,28530673,www.ncbi.nlm.nih.gov/pubmed/28530673,Avon Longitudinal Study of Parents and Children (ALSPAC); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Queensland Institute of Medical Research (QIMR); Western Australian Pregnancy Cohort Study (RAINE); Twins Early Development Study (TEDS); Erasmus Rucphen Family Study (ERF); GENR (GENR); HU (HU); Minnesota Center for Twin and Family Research (MCTFR); Swedish Twin Registry (STR); UK Biobank (UKB),,Are these two UKBio?
109,Xuejie,GCST002352,24509480,www.ncbi.nlm.nih.gov/pubmed/24509480,"Atherosclerosis Risk in Communities Study (ARIC); deCODE Genetics (deCODE); Diabetes Gene Discovery Group (DGDG); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Micro-isolates in South Tyrol Study (MICROS); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg (KORA); Nurses Health Study (NHS); Rotterdam Study I (RS-I); Wellcome Trust Case Control Consortium (WTCCC); Cardio-metabolic Genome Epidemiology Study (CAGE); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Korean Association Resource Project (KARE); Singapore Diabetes Cohort Study (SDCS); Singapore Prospective Study Program (SP2); Shanghai Diabetes Genetic Study (SDGS); Singapore Malay Eye Study (SIMES); Taiwan Type 2 Diabetes Study (TDS); London Life Sciences Population Study (LOLIPOP); London Life Sciences Population Study (LOLIPOP); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Singapore Indian Eye Study (SINDI); Mexico City (Mexico City); Starr County (Starr); Osteoporosis Clinic of Asan Medical Center (AMC-PAS); Busselton Health Study (BHS); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); Dundee (Dundee); EAS (EAS); Estonian Genome Center of the University of Tartu (EGCUT); EMIL (EMIL); European Prospective Investigation into Cancer (EPIC); D2D2007 (D2D2007); Drs Extra (Drs Extra); Nord-Trèndelag Health Study (HUNT); Metabolic Syndrome In Men (METSIM); Health2000 GenMets Study (GenMets); Heinz Nixdorf Recall Study (HNR); IMPROVE (IMPROVE); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); PMB (PMB); SCARFSHEEP (SCARFSHEEP); Swedish Twin Registry (STR); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); Uppsala Longitudinal Study of Adult Men (ULSAM); Warren 2 Consortium (W2C); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Center of Excellence-Baden-Wuerttemberg Type 2 Diabetes Cohort (ULM); European Special Population Network consortium (EUROSPAN)",,
110,Xuejie,GCST000568,20081858,www.ncbi.nlm.nih.gov/pubmed/20081858,"Segovia (Segovia); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Baltimore Longitudinal Study of Ageing (BLSA); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); SardiNIA Study of Aging (SardiNIA); Cohorte Lausannoise (CoLaus); Genetic Epidemiology of Metabolic Syndrome study (GEMS); The Invecchiare in Chianti (InCHIANTI); deCODE Genetics (deCODE); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Rotterdam Study (RS); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Precocious Coronary Artery Disease Study (PROCARDIS); Sorbs population (SORBS); Erasmus Rucphen Family Study (ERF); CROATIA-Vis Island Study (CROATIA-VIS); Orkney Complex Disease Study (ORCADES); Micro-isolates in South Tyrol Study (MICROS); Uppsala Longitudinal Study of Adult Men (ULSAM); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Atherosclerosis Risk in Communities Study (ARIC); Partners study (Partners); The older order AMISH population studies (AMISH); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Metabolic Syndrome In Men (METSIM); Diabetes Genetics (DIAGEN); Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP); UK Adult Twin Register (TwinsUK); Ume (Ume); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Fenland study (Fenland); Ely Study (Ely); Hertfordshire Cohort Study (HerCS); Whitehall Study II (Whitehall-II); British Womens Heart & Health Study (BWHHS); Caerphilly Prospective Study (CaePS); Exeter Family Study of Childhood Health (EFSOCH); Gene and Diet Attica Investigation (GENDAI); Greek Health Randomized Aging Study (GHRAS); Health 2000 Study (Health 2000); MesyBePo (MesyBePo); Oxford Biobank (OBB); UK Type 2 Diabetes Genetics Consortium (UK2 GCC); Family Heart Study (FamHS); GenomEUtwin study (GenomEUtwin); Inter99 Study (Inter99); NHANES (NHANES); Busselton Health Study (BHS); WASHS (WASHS); Roche Study (Roche)",,
111,Xuejie,GCST004027,27911795,www.ncbi.nlm.nih.gov/pubmed/27911795,"Cohorte Lausannoise (CoLaus); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Fenland study (Fenland); The Younger Finnish Twin Cohort (FinnTwin12); The Older Finnish Twin Cohort (FinnTwinOld); Helsinki Birth Cohort Study (HBCS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); Alcohol Research using Australian twins and their families (OZALC); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Cardiovascular Risk in Young Finns Study (YFS); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Health, Aging, and Body Composition Study (Health ABC); Multi-Ethnic Study of Atherosclerosis (MESA); Rotterdam Study (RS); Womens Genome Health Study (WGHS); Airwave Health Monitoring Study (Airwave); Austrian Stroke Prevention Study (ASPS); British 1958 Birth Cohort Study (B58C); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Genetic Regulation of Arterial Pressure in Humans in the Community (GRAPHIC); Generation Scotland: Scottish Family Health Study (GS:SFHS); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Northern Sweden Population Health Study (NSPHS); Orkney Complex Disease Study (ORCADES); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER)",,
112,Xuejie,GCST001706,23041239,www.ncbi.nlm.nih.gov/pubmed/23041239,"Atherosclerosis Risk in Communities Study (ARIC); Australian Stroke Genetics Collaborative (ASGC); Bio-Repository of DNA in Stroke (BRAINS); Cardiovascular Health Study (CHS); deCODE Genetics (deCODE); Framingham Heart Study (FHS); Genetics of Early Onset Stroke (GEOS); Heart Protection Study (HPS); Heart and Vascular Health Atrial Fibrillation Study (HVH); Ischemic Stroke Genetics Study (ISGS); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); Milano Besta Institute Stroke Study (MILANO); Rotterdam Study (RS); Wellcome Trust Case Control Consortium 2 (WTCCC2); Wellcome Trust Case Control Consortium 2 (WTCCC2); Barcelona (Barcelona); BSS (BSS); Copenhagen General Population Study (CGPS); Edinburgh Stroke Study (ESS); Glasgow, Scotland ImmunoChip Study Samples (GSICSS); Genetics of diabetes Audit and Research (GODARTS); Austrian Stroke Prevention Study (ASPS); INTERSTROKE (INTERSTROKE); Krakow stroke genetics study (KRAKOW); Leuven Stroke Genetics Study (LSGS); Lund Stroke Register (LSR); Munster (Munster); Portugal (Portugal); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); The Secondary Manifestations of ARTerial disease study (SMART); Sweden (Sweden); Vitamin Intervention for Stroke Prevention (VISP); Womens Health Initiative (WHI)",,
113,Xuejie,GCST001466,22479191,www.ncbi.nlm.nih.gov/pubmed/22479191,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); Austrian Stroke Prevention Study (ASPS); Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Health, Aging, and Body Composition Study (Health ABC); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); CROATIA-Korcula Study (CROATIA-KORCULA); Micro-isolates in South Tyrol Study (MICROS); Northern Sweden Population Health Study (NSPHS); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); The Population Genetic Cohort (POPGEN); Sorbs population (SORBS)",,
114,Xuejie,GCST002403,24688116,www.ncbi.nlm.nih.gov/pubmed/24688116,Belfast Elderly Longitudinal Free-living Ageing Study (BELFAS); Calabria (Calabria); Centre dEtude du Polymorphisme Humain (CEPH); Danish Longevity Study I (DLS-I); Danish Longevity Study II (DLS-II); deCODE Genetics (deCODE); Estonian Genome Center of the University of Tartu (EGCUT); Genetics of Healthy Aging (GEHA); German Longevity Study (GLS); Genetics of Overweight Young Adults (GOYA); Leiden 85-plus study (L85PLUS); Leiden Longevity Study (LLS); Newcastle 85+ Study (N85PLUS); Netherlands Twin Registry (NTR); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study (RS); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); TwinGene Study (TwinGene); UK Adult Twin Register (TwinsUK); Wellcome Trust Case Control Consortium 2 (WTCCC2),,
115,Xuejie,GCST001236,21909110,www.ncbi.nlm.nih.gov/pubmed/21909110,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Austrian Stroke Prevention Study (ASPS); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); Baltimore Longitudinal Study of Ageing (BLSA); Busselton Health Study (BHS); Cardiovascular Health Study (CHS); Cohorte Lausannoise (CoLaus); CROATIA-Vis Island Study (CROATIA-VIS); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Fenland study (Fenland); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); The Invecchiare in Chianti (InCHIANTI); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Micro-isolates in South Tyrol Study (MICROS); Myocardial Infarction Genetics Consortium (MIGen); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Montreal/Boston Collection (M-BC); Northern Sweden Population Health Study (NSPHS); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Precocious Coronary Artery Disease Study (PROCARDIS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Study of Health in Pomerania (SHIP); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); UK Adult Twin Register (TwinsUK); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); London Life Sciences Population Study (LOLIPOP); London Life Sciences Population Study (LOLIPOP); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Multi-Ethnic Study of Atherosclerosis (MESA); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Cardiovascular Risk in Young Finns Study (YFS); Womens Genome Health Study (WGHS); Montreal/Boston Collection (M-BC)",,
116,Xuejie,GCST000666,20418890,www.ncbi.nlm.nih.gov/pubmed/20418890,"Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); The Invecchiare in Chianti (InCHIANTI); Rotterdam Study (RS); Framingham Heart Study (FHS); Womens Genome Health Study (WGHS); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Italian Atherosclerosis Thrombosis and Vascular Biology (IATVB); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); International Agency for Research on Cancer Study (IARC); Myocardial Infarction Genetics Consortium (MIGen); Nurses Health Study (NHS); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Molecular Genetics of Schizophrenia Collaboration (MGS)",,
117,Xuejie,GCST002011,23644456,www.ncbi.nlm.nih.gov/pubmed/23644456,NO NAME; deCODE Genetics (deCODE); Prospective Epidemiological Risk Factor study (PERF); Dubbo Osteoporosis Epidemiology Study (DOES),,
118,Xuejie,GCST000296,19079260,www.ncbi.nlm.nih.gov/pubmed/19079260,Nijmegen Bladder Cancer Study (NBCS); Nijmegen Biomedical Study (NBS); Johns Hopkins Sibling and Family Heart Study (JH-SFHS); Inter99 Study (Inter99); ADDITION study (ADDITION); deCODE Genetics (deCODE),GIANT,Need to add the files from the Giant consortium into the DATASETS column
119,Xuejie,GCST003660,27036123,www.ncbi.nlm.nih.gov/pubmed/27036123,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Airwave Health Monitoring Study (Airwave); AtheroExpress (AEGS1); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Family Heart Study (FamHS); Finnish Cardiovascular Study (FINCAVAS); FINRISK (FINRISK); Generation Scotland: Scottish Family Health Study (GS:SFHS); Jackson Heart Study (JHS); LifeLines (LifeLines); Leiden Longevity Study (LLS); London Life Sciences Population Study (LOLIPOP); Gene By Environment (GXE); SPT (SPT); Multi-Ethnic Study of Atherosclerosis (MESA); The Netherlands Epidemiology of Obesity Study (NEO); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Orkney Complex Disease Study (ORCADES); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Tracking Adolescents Individual Lives Survey (TRAILS); Cardiovascular Risk in Young Finns Study (YFS),,
120,Xuejie,GCST004405,28485404,www.ncbi.nlm.nih.gov/pubmed/28485404,Genetic Epidemiology Research in Adult Health and Aging (GERA),,
121,Xuejie,GCST002500,24952745,www.ncbi.nlm.nih.gov/pubmed/24952745,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); British Genetics of Hypertension study (BRIGHT); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Cardiovascular Health Study (CHS); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); Diabetes Control and Complication Trial (DCCT); Epidemiology of Diabetes Interventions and Complications (EDIC); deCODE Genetics (deCODE); Medical Records and Genomics study (eMERGE); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Health 2000 Study (Health 2000); Health, Aging, and Body Composition Study (Health ABC); Heinz Nixdorf Recall Study (HNR); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); LifeLines (LifeLines); Micro-isolates in South Tyrol Study (MICROS); Orkney Complex Disease Study (ORCADES); European Prospective Investigation into Cancer (EPIC); The Population Genetic Cohort (POPGEN); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Cardiovascular Risk in Young Finns Study (YFS); BRHS (BRHS); Bruneck study (BRUNECK); CARLA (CARLA); CYPRUS (CYPRUS); Monitoring of Trends and Determinants in Cardiovascular Disease (MONICA); MIDSPAN Family Study (MIDSPAN); Galicia (Galicia); Health 2000 Study (Health 2000); Heinz Nixdorf Recall Study (HNR); INTERGENE (INTERGENE); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Salzburg Atherosclerosis Prevention Program in subjects at High Individual Risk (SAPHIR); Uppsala Longitudinal Study of Adult Men (ULSAM); Whitehall Study II (Whitehall-II); Czech Post (Czech Post)",,
122,Xuejie,GCST004024,28049566,www.ncbi.nlm.nih.gov/pubmed/28049566,"Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Health, Aging, and Body Composition Study (Health ABC); The Invecchiare in Chianti (InCHIANTI); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Helsinki Birth Cohort Study (HBCS); Multi-Ethnic Study of Atherosclerosis (MESA); Nurses Health Study (NHS); Rotterdam Study III (RS-III); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); SardiNIA Study of Aging (SardiNIA); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Study of Health in Pomerania (SHIP); Genetic Association Information Network (GAIN); GenRED (GenRED); GlaxoSmithKline (GSK); MDD2000 Study (MDD2000); MDD2000 Study (MDD2000); Munich Morphometry Sample (MPIP); RADIANT (RADIANT); STAR*D (STAR*D)",,
123,Xuejie,GCST000997,21378095,www.ncbi.nlm.nih.gov/pubmed/21378095,Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Cleveland Family Study (CFS); Coronary Artery Risk Development in Young Adults (CARDIA); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); Maywood Cohort (Maywood); International Collaborative Study on Hypertension in Blacks (ICSHIB); Howard University Family Study (HUFS); Genetic Epidemiology Network of Arteriopathy (GENOA); Womens Health Initiative (WHI); International Consortium for Blood Pressure Genome-wide Association Studies (ICBP),,
124,Xuejie,GCST002410,24728293,www.ncbi.nlm.nih.gov/pubmed/24728293,Icelandic cohort (Icelandic); Rotterdam Study (RS); UK Adult Twin Register (TwinsUK); Chingford study (Chingford); Genetics OsteoArthritis and Progression (GARP); Leiden Longevity Study (LLS); RAAK (RAAK); Paprika (Paprika); Malmo Diet and Cancer Study (MDC),,
125,Xuejie,GCST004010,28039329,www.ncbi.nlm.nih.gov/pubmed/28039329,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Health, Aging, and Body Composition Study (Health ABC); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); The Netherlands Epidemiology of Obesity Study (NEO); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study (RS); Hispanic Community Health Study (HCHS); Womens Health Initiative (WHI); Study of Latinos (SOL)",,
126,Xuejie,GCST002143,23972371,www.ncbi.nlm.nih.gov/pubmed/23972371,"BioVU, the Vanderbilt DNA Databank project (BioVu); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cleveland Family Study (CFS); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); Cardiovascular Health Study (CHS); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Genetic Epidemiology Network of Arteriopathy (GENOA); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Health, Aging, and Body Composition Study (Health ABC); Hypertension Genetic Epidemiology Network (HYPERGEN); Maywood Cohort (Maywood); Genetics of Hypertension in Blacks (Nigeria); MT. SINAI BioMe Biobank Platform (IMP); Womens Health Initiative SNP Health Association Resource (WHI-SHARe); Howard University Family Study (HUFS); Busselton Health Study (BHS); Sea Islands Genetics Network (SIGNET); Justification for the Use of Statins in Primary Prevention: An Intervention Trial Evaluating Rosuvastatin (JUPITER); Ghana (Ghana); FBPP (FBPP); Health and Retirement Study (HRS); MT. SINAI BioMe Biobank Platform (IMP); AXIOM (AXIOM)",,
127,Xuejie,GCST003725,27094239,www.ncbi.nlm.nih.gov/pubmed/27094239,"Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Womens Genome Health Study (WGHS); Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Rotterdam Study (RS); The Population Genetic Cohort (POPGEN); BioVU, the Vanderbilt DNA Databank project (BioVu); Copenhagen General Population Study (CGPS); Copenhagen City Heart Study (CCHS); Kiel PopGen biobank study (KIEL); Womens Health Initiative (WHI)",,
128,Xuejie,GCST002273,24220699,www.ncbi.nlm.nih.gov/pubmed/24220699,Icelandic Cancer Registry (ICR); deCODE Genetics (deCODE); Nijmegen Biomedical Study (NBS); NO NAME,,
129,Xuejie,GCST002630,25249183,www.ncbi.nlm.nih.gov/pubmed/25249183,International Collaborative Study of Cardiovascular Disease in Asia 1 (InterASIA1); Beijing (Beijing); Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt); Nutrition and Health of Aging Population in China (NHAPC); Nanjing Study (NJ Study); Dongfeng-Tongji cohort study (DFTJ); International Collaborative Study of Cardiovascular Disease in Asia 2 (InterASIA2); Copenhagen City Heart Study 1 (CCHS-1); Copenhagen City Heart Study 2 (CCHS-2),,
130,Xuejie,GCST003619,27189021,www.ncbi.nlm.nih.gov/pubmed/27189021,Genetic Epidemiology Research in Adult Health and Aging (GERA),,
131,Xuejie,GCST001886,23455637,www.ncbi.nlm.nih.gov/pubmed/23455637,"GenoMEL (GenoMEL); NO NAME; Leeds (Leeds); Harvard (Harvard); Australia (Australia); Italy (Italy); Huston (Huston); Iceland AAA GWAS dataset (IBCS); The Netherlands AAA GWAS dataset (Netherlands); Department of Neurology, Medical University of Vienna (DNMUV); Milano Besta Institute Stroke Study (MILANO); Sweden (Sweden); Valencia Institute of Oncology (VIO); Oncology Department of Zaragoza Hospital (ODZH)",,
132,Xuejie,GCST002240,24163127,www.ncbi.nlm.nih.gov/pubmed/24163127,"Spanish Bladder Cancer Study (SpBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Cancer Prevention Study II (CPS-II); New England Bladder Cancer Study (NEBCS); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); European Prospective Investigation into Cancer (EPIC); Womens Health Initiative (WHI); Los Angeles Bladder Cancer Study (LABCS); New England Bladder Cancer Study (NEBCS); French Prostate Cancer Case-Control Study (CeRePP); Familial Breast Cancer Study (FBCS); Brescia Bladder Cancer Study (BBCS_b); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); Multiethnic Cohort Study of Diet and Health (MEC); Environment and Genetics in Lung Cancer Etiology Study (EAGLE); Texas Bladder Cancer Study 1 (TXBCS 1); Texas Bladder Cancer Study 2 (TXBCS 2)",,
