,PUBMEDID,N,In Charge,DATASETS,Consortia,NOTES
204,25056061,155283,Xuejie,NO NAME; Thematically Organized Psychoses Research Study (TOP); Danish Psychiatric Central Register (DPCR); British 1958 Birth Cohort Study (B58C); Gottingen Research Association for Schizophrenia (GRAS); Estonian Genome Center of the University of Tartu (EGCUT); Molecular Genetics of Schizophrenia Collaboration (MGS); The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); The Singapore Translational and Clinical Research in Psychosis (STCRP); deCODE Genetics (deCODE),International Schizophrenia Consortium,
205,26198764,155219,Xuejie,Epidemiology genetic program AJ schizophrenia case-control samples (Epi Gen AJ SZ); Hebrew university geneomic resource AJ schizophrenia case-control sample (HUGR),PGC2,
206,27117709,153436,Xuejie,"Australian Breast Cancer Family Study (ABCFS); British Breast Cancer Study (BBCS); Dutch Familial Bilateral Breast Cancer Study (DFBBCS); German Consortium for Hereditary Breast & Ovarian Cancer (GC-HBOC); UK GWAS Stage 2 (UK2); Helsinki Breast Cancer Study (HEBCS); Mammary Carcinoma Risk Factor Investigation (MARIE); Singapore and Sweden Breast Cancer Study (SASBAC); Cancer Prevention Study II (CPS-II); European Prospective Investigation into Cancer (EPIC); Multiethnic Cohort Study of Diet and Health (MEC); Nurses Health Studies II (NHS2); Polish Breast Cancer Study (PBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nurses Health Study (NHS); Breast Cancer Family Registry (BCFR); Colon Cancer Family Registry (CCFR); Genetic Epidemiologic Study of Breast Cancer by Age 50 (GESBC); Long Island Breast Cancer Study Project (LI); Seattle (Seattle); University of Southern California (USC); Australian Breast Cancer Tissue Bank (ABCTB); Melbourne Collaborative Cohort Study (MCCS); Queensland Institute of Medical Research (QIMR); Bavarian Breast Cancer Cases and Controls (BBCC); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Mammary Carcinoma Risk Factor Investigation (MARIE); Cooperative Health Research in the Region of Augsburg (KORA); Harvard Breast Cancer SPORE Blood Repository (DFCI); Fox Chase Cancer Center (FCCC); Mayo Clinic Breast Cancer Study (MCBCS); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Prospective Study of Outcomes in Sporadic Versus Hereditary Breast Cancer Study (POSH); Sheffield Breast Cancer Study (SBCS_b); Wellcome Trust Case Control Consortium (WTCCC); Amsterdam Breast Cancer Study (ABCS); Breast Cancer In Galway Genetic Study (BIGGS); Breast Cancer Study of the University Clinic Heidelberg (BSUCH); CECILE Breast Cancer Study (CECILE); Copenhagen General Population Study (CGPS); Spanish National Cancer Centre Breast Cancer Study (CNIO-BCS); California Teachers Study (CTS); Hellenic Cooperative Oncology Group (Demokritos); ESTHER Breast Cancer Study (ESTHER); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Helsinki Breast Cancer Study (HEBCS); Hannover-Minsk Breast Cancer Study (HMBCS); Karolinska Breast Cancer Study (KARBAC); Kuopio Breast Cancer Project (KBCP); Australian Ovarian Cancer Study (AOCS); Leuven Multidisciplinary Breast Centre (LMBC); Mammary Carcinoma Risk Factor Investigation (MARIE); Montreal Gene-Environment Breast Cancer Study (MTLGEBCS); Multiethnic Cohort Study of Diet and Health (MEC); Nigerian Breast Cancer Study (NigBCS); Nashville Breast Health Study (NBHS); Oulu Breast Cancer Study (OBCS); Ontario Familial Breast Cancer Registry (OFBCR); Leiden University Medical Centre Breast Cancer Study (ORIGO); The Stefanie Spielman Breast Bank and the Columbus Area Control Sample Bank (OSU); Karolinska Mammography Project for Risk Prediction of Breast Cancer (pKARMA); Rotterdam Breast Cancer Study (RBCS); Roswell Park Cancer Institute (RPCI); Singapore and Sweden Breast Cancer Study (SASBAC); Sheffield Breast Cancer Study (SBCS_b); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); St_dtisches Klinikum Karlsruhe Deutsches Krebsforschungszentrum Study (SKKDKFZS); Stanford IST (IST); IHCC-Szczecin Breast Cancer Study (SZBCS); UK Breakthrough Generations Study (UKBGS); BFBOCC (BFBOCC); BIDMC (BIDMC); BMSA (BMSA); BRICOH (BRICOH); Carolina Breast Cancer Study (CBCS); Spanish National Cancer Centre (CNIO); COH (COH); CONSIT (CONSIT); DKFZ (DKFZ); DNA HEBON (HEBON); EMBRACE (EMBRACE); Fox Chase Cancer Center (FCCC); GEMO (GEMO); GEORGETOWN (GEORGETOWN); G-FaST (G-FaST); GOG (GOG); HCSC (HCSC); HUNBOCS (HUNBOCS); Heart and Vascular Health Atrial Fibrillation Study (HVH); ICO (ICO); IHCC-Szczecin Breast Cancer Study (SZBCS); INHERIT (INHERIT); IOVHBOCS (IOVHBOCS); IPOBCS (IPOBCS); Kathleen Cuningham Foundation Consortium for Research into Familial Breast Cancer (kConFab); Meta-Analyses of Glucose and Insulin-related Traits Consortium (MAGIC); McGill (McGill); MDAND (MDAND); MODSQUAD (MODSQUAD); Memorial-Sloan Kettering Lymphoproliferative disorders Study (MSKCC); MUV (MUV); NAROD (NAROD); National Cancer Institute (NCI); NNPIO (NNPIO); OCGN (OCGN); OSUCCG (OSUCCG); OUH (OUH); Polish Breast Cancer Study (PBCS); Swedish Mammography Cohort (SMC); UCSF Family Alcoholism study (UCSF); UKGRFOCR (UKGRFOCR); UPENN (UPENN); VFCTG (VFCTG); Womens Cancer Research Institute - Cedars-Sinai Medical Center (WCRI)",,
207,23636237,149864,Pilar,"Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); European Prospective Investigation into Cancer (EPIC); Family Heart Study (FamHS); Fenland study (Fenland); Framingham Heart Study (FHS); Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN); Health, Aging, and Body Composition Study (Health ABC); The Invecchiare in Chianti (InCHIANTI); Multi-Ethnic Study of Atherosclerosis (MESA); Rotterdam Study (RS); Cardiovascular Risk in Young Finns Study (YFS); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Malmo Diet and Cancer Study (MDC); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); Womens Genome Health Study (WGHS)",DietGen Consortium; Heart and Aging Research in Genomic Epidemiology (CHARGE) Consortium,
208,22885922,149821,Pilar,Atherosclerosis Risk in Communities Study (ARIC); deCODE Genetics (deCODE); Diabetes Gene Discovery Group (DGDG); European Special Population Network consortium (EUROSPAN); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Health Professional Follow-up Study (HPFS); Korean Genome Epidemiology Study (KoGES); Nurses Health Study (NHS); Rotterdam Study (RS); Osteoporosis Clinic of Asan Medical Center (AMC-PAS); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); Dundee (Dundee); EAS (EAS); Estonian Genome Center of the University of Tartu (EGCUT); EMIL (EMIL); European Prospective Investigation into Cancer (EPIC); Gmets study (GMETS); Heinz Nixdorf Recall Study (HNR); IMPROVE (IMPROVE); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); SCARFSHEEP (SCARFSHEEP); Swedish Twin Registry (STR); Eating in Atherosclerosis Susceptibility (THISEAS);  Uppsala Longitudinal Study of Adult Men (ULSAM),,
209,27362418,149807,Pilar,European descent in the Diabetes Genetics Replication And Meta-analysis (DIAGRAM); Genetic Epidemiology Research in Adult Health and Aging (GERA),,
210,27094239,147261,Xuejie,"Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Womens Genome Health Study (WGHS); Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Rotterdam Study (RS); The Population Genetic Cohort (POPGEN); BioVU, the Vanderbilt DNA Databank project (BioVu); Copenhagen General Population Study (CGPS); Copenhagen City Heart Study (CCHS); Kiel PopGen biobank study (KIEL); Womens Health Initiative (WHI)",,
211,28067908,146198,Xuejie,UK low coverage whole genome sequencing IBD study (UK Low); UK HumanCoreExome genotyped IBD study (UKHCEIBD); IIBDGC genotyped CD study (IIBDGC); NO NAME,,
212,23603763,143849,Pilar,"Norwegian Bone Marrow Donor Registry (NBMDR); North Trondelag Health Study (HUNT); Epidemiological Investigation of Rheumatoid Arthritis (EIRA); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); Heinz Nixdorf Recall Study (HNR); Cooperative Health Research in the Region of Augsburg (KORA); British 1958 Birth Cohort Study (B58C); National Blood Bank Service (NBBS); PSC Resource of Genetic Risk, Environment and Synergy Studies (PROGRESS); National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",,
213,21378990,143677,Xuejie,"Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Coronary Artery Disease and genomics (CADomics); CHARGE (CHARGE); deCODE Genetics (deCODE); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); German Myocardial Infarction Family Study III (GerMIFS III); Ludwigshafen Risk and Cardiovascular Health (LURIC); medSTARCARDIAC catheterization study (MedSTAR); Myocardial Infarction Genetics Consortium (MIGen); Ottawa Heart Genomics Study 1 (OHGS1); PennCATH (PennCATH); Wellcome Trust Case Control Consortium (WTCCC); Dortmund Health Study (DHS); Osteoporosis Clinic of Asan Medical Center (AMC-PAS); Luebeck Angiographic Study (Angio-Lueb); CHAOS (CHAOS); Ottawa Heart Genomics Study 2 (OHGS2); European Prospective Investigation into Cancer (EPIC); GENDER (GENDER); GraceGenetics (GraceGenetics); Ottawa Heart Genomics Study 3 (OHGS3); Intermountain Heart Collaborative Study (IHCS); Irish Family Study (IFS); Italian Atherosclerosis Thrombosis and Vascular Biology (IATVB); Leeds (Leeds); Malmo Diet and Cancer Study (MDC); Mid-America Heart Institute (MAHI); The Population Genetic Cohort (POPGEN); SAS (SAS); Study of Myocardial Infarction in LEiden (SMILE); Stockholm Heart Epidemiology Program (SHEEP); Emory Genebank Study (EGS); Johns Hopkins - Genetic STudy of Atherosclerosis Risk (GeneSTAR_b); The New Zealand CAD Study (NZ-CAD); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); UKMI (UKMI); Verona Heart Study (VHS); Atherosclerosis Risk in Communities Study (ARIC); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); GoKard (GoKard)",,
214,20418890,143023,Xuejie,"Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); The Invecchiare in Chianti (InCHIANTI); Rotterdam Study (RS); Framingham Heart Study (FHS); Womens Genome Health Study (WGHS); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Italian Atherosclerosis Thrombosis and Vascular Biology (IATVB); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); International Agency for Research on Cancer Study (IARC); Myocardial Infarction Genetics Consortium (MIGen); Nurses Health Study (NHS); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Molecular Genetics of Schizophrenia Collaboration (MGS)",,
215,28869591,142487,,,,
216,20581827,141454,Xuejie,"Diabetes Gene Discovery Group (DGDG); deCODE Genetics (deCODE); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Micro-isolates in South Tyrol Study (MICROS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Cooperative Health Research in the Region of Augsburg (KORA); Rotterdam Study (RS); Wellcome Trust Case Control Consortium (WTCCC); Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Nurses Health Study (NHS); Ely Study (Ely); Dutch Breda Study (DBS); Cambridgeshire Case-Control Study (CCCS); Genetics of diabetes Audit and Research (GODARTS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Genomics Collaborative Initiative (GCI); European Special Population Network consortium (EUROSPAN); Nord-Tr�ndelag Health Study (HUNT); Cooperative Health Research in the Region of Augsburg (KORA); Malmo Diet and Cancer Study (MDC); Metabolic Syndrome In Men (METSIM); European Prospective Investigation into Cancer (EPIC); Steno Diabetes Center Study (Steno); Center of Excellence-Baden-Wuerttemberg Type 2 Diabetes Cohort (ULM); Warren 2 Consortium (W2C); UK National Blood Donor Service (UKBS)",,
217,19557161,140644,Xuejie,"British 1958 Birth Cohort Study (B58C); Cohorte Lausannoise (CoLaus); deCODE Genetics (deCODE); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); European Prospective Investigation into Cancer (EPIC); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); Northern Finnish Birth Cohort Study (NFBC); Nurses Health Study (NHS); SardiNIA Study of Aging (SardiNIA); UK Adult Twin Register (TwinsUK); British 1958 Birth Cohort Study (B58C); Erasmus Rucphen Family Study (ERF); Rotterdam Study (RS); Fenland study (Fenland); Genetic Epidemiology of Metabolic Syndrome study (GEMS); London Life Sciences Population Study (LOLIPOP); Precocious Coronary Artery Disease Study (PROCARDIS); Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP); Black Womens Health Study (BWHS); FINRISK (FINRISK); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Hertfordshire Cohort Study (HerCS); Metabolic Syndrome In Men (METSIM); Ely Study (Ely); UK Type 2 Diabetes Genetics Consortium (UK2 GCC); Umea Genetics of Obesity (UGO); UK Medical Research Council (MRC)",,
218,27189021,140637,Xuejie,Genetic Epidemiology Research in Adult Health and Aging (GERA),,
219,28651948,140231,Pilar,Genetic Factors for Osteoporosis Consortium (GEFOS); Coronary ARtery DIsease Genome-wide Replication And Meta-analysis (CARDIoGRAM),,
220,27918534,139843,Domante,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Dallas Heart Study (DaHS); Family Heart Study (FamHS); Fels Longitudinal Study (Fels); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Health, Aging, and Body Composition Study (Health ABC); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); MRCOB (MRCOB); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Study of Health in Pomerania (SHIP); The older order AMISH population studies (AMISH)",,
221,27668658,138486,,,,
222,26955885,136092,Xuejie,UK Biobank (UKB),,
223,23222517,135367,Xuejie,Avon Longitudinal Study of Parents and Children (ALSPAC); The older order AMISH population studies (AMISH); Cohorte Lausannoise (CoLaus); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); GeneBank (GeneBank); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Malmo Diet and Cancer Study (MDC); Micro-isolates in South Tyrol Study (MICROS); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Queensland Institute of Medical Research (QIMR); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); UK Adult Twin Register (TwinsUK); UK National Blood Donor Service (UKBS); Cambridge BioResource (CBR); deCODE Genetics (deCODE); Ludwigshafen Risk and Cardiovascular Health (LURIC); Ogliastra Genetic Park (OGP); The Secondary Manifestations of ARTerial disease study (SMART); Cardiovascular Risk in Young Finns Study (YFS),,
224,28452372,134580,Xuejie,"Three City Study (3C); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Austrian Stroke Prevention Study (ASPS); Blue Mountain Eye Study (BMES); Cohorte Lausannoise (CoLaus); Estonian Genome Center of the University of Tartu (EGCUT); Family Heart Study (FamHS); Framingham Heart Study (FHS); GENDIAN (GENDIAN); Health, Aging, and Body Composition Study (Health ABC); Hunter Community Study (HCS); Health Professional Follow-up Study (HPFS); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Charles R Bronfman Institute for Personalized Medicine - IPM / BioBank Genome Wide Association Study of Cardiovascular, Renal and Metabolic Phenotypes I (IPM I); Charles R Bronfman Institute for Personalized Medicine - IPM / BioBank Genome Wide Association Study of Cardiovascular, Renal and Metabolic Phenotypes (IPM II); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); LifeLines (LifeLines); Multi-Ethnic Study of Atherosclerosis (MESA); Micro-isolates in South Tyrol Study (MICROS); Nurses Health Study (NHS); Northern Sweden Population Health Study (NSPHS); Rotterdam Study I (RS-I); Swiss Study on Air Pollution and Lung Diseases in Adults (SAPALDIA); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); European Special Population Network consortium (EUROSPAN)",,
225,29304378,134303,Pilar,"1982 Pelotas Birth Cohort Study (1982 Pelotas); Avon Longitudinal Study of Parents and Children (ALSPAC); Bone Mineral Density in Childhood Study (BMDCS); B-vitamins for the prevention of osteoporotic fractures (B-PROOF); Cardiovascular Health Study (CHS); Copenhagen Study on Asthma in Childhood (COPSAC); deCODE Genetics (deCODE); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Fenland study (Fenland); Framingham Heart Study (FHS); Generation R Study Group (Generation R); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Health, Aging, and Body Composition Study (Health ABC); Osteoporotic Fractures in Men Study (MrOS); The Netherlands Epidemiology of Obesity Study (NEO); Osteoporosis Risk Assessment Cohort (OPRA); Orkney Complex Disease Study (ORCADES); Physical Activity and Nutrition in Children Study (PANIC); Western Australian Pregnancy Cohort Study (RAINE); Rotterdam Study (RS); Study of Osteoporotic Fractures (SOF); UK Adult Twin Register (TwinsUK); UK Biobank (UKB)",,
226,24861553,134091,Xuejie,Shanghai Genome-Wide Association Studies (SGWAS); Taiwan Genome Wide Association Study (TGWAS); Cardiometabolic Risk in Chinese (CRC); Guangxi Fangchenggang Area Male Health and Examination Survey (FAMHES); Nutrition and Health of Aging Population in China (NHAPC); Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt); Dongfeng-Tongji cohort study (DFTJ); Shanghai Institute of Hypertension GWAS (SIH); Singapore Prospective Study Program (SP2); Singapore Diabetes Cohort Study (SDCS); Multi-Ethnic Study of Atherosclerosis (MESA); Taiwan USA Diabetes Retinopathy (TUDR); Health Examinee Shared Control Study (HEXA); Health2 Study (Health2); Rural cohort (Rural); Korean Cancer Prevention Study II (KCPS-II); Singapore Malay Eye Study (SIMES); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cardio-metabolic Genome Epidemiology Study (CAGE); RIKEN (RIKEN); TaiChi consortium (TaiChi); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Cardio-metabolic Genome Epidemiology Study - Amagasaki (CAGE-Amagasaki); Kyushu University Fukuoka Cohort Study (CAGE-Fukuoka); Japanese Millenium Genome Project (JMGP),,
227,29618737,131238,,,,
228,22479191,130600,Xuejie,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); Austrian Stroke Prevention Study (ASPS); Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Health, Aging, and Body Composition Study (Health ABC); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); CROATIA-Korcula Study (CROATIA-KORCULA); Micro-isolates in South Tyrol Study (MICROS); Northern Sweden Population Health Study (NSPHS); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); The Population Genetic Cohort (POPGEN); Sorbs population (SORBS)",,
229,23972371,130137,Xuejie,"BioVU, the Vanderbilt DNA Databank project (BioVu); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cleveland Family Study (CFS); Jackson Heart Study (JHS); Multi-Ethnic Study of Atherosclerosis (MESA); Cardiovascular Health Study (CHS); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Genetic Epidemiology Network of Arteriopathy (GENOA); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Health, Aging, and Body Composition Study (Health ABC); Hypertension Genetic Epidemiology Network (HYPERGEN); Maywood Cohort (Maywood); Genetics of Hypertension in Blacks (Nigeria); MT. SINAI BioMe Biobank Platform (IMP); Womens Health Initiative SNP Health Association Resource (WHI-SHARe); Howard University Family Study (HUFS); Busselton Health Study (BHS); Sea Islands Genetics Network (SIGNET); Justification for the Use of Statins in Primary Prevention: An Intervention Trial Evaluating Rosuvastatin (JUPITER); Ghana (Ghana); FBPP (FBPP); Health and Retirement Study (HRS); MT. SINAI BioMe Biobank Platform (IMP); AXIOM (AXIOM)",,
230,28073927,129620,Domante,Brisbane Adolescent Twins Study (BATS); Blue Mountain Eye Study (BMES); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Framingham Eye Study (FES); Gutenberg Health Study I (GHS-I); Gutenberg Health Study II (GHS-II); Orkney Complex Disease Study (ORCADES); Western Australian Pregnancy Cohort Study (RAINE); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Twins Eye Study in Tasmania (TEST); UK Adult Twin Register (TwinsUK); Beijing Eye Study (BES); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); Singapore Indian Eye Study (SINDI); Australian & New Zealand Registry of Advanced Glaucoma (ANZRAG); National Eye Institute Glaucoma Human Genetics Collaboration Heritable Overall Operational Database (NEIGHBORHOOD); NO NAME,,
231,23300278,128127,Pilar,"Sikh GWAS (Sikh); London Life Sciences Population Study (LOLIPOP); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); Asian Indian Diabetic Heart Study (AIDHS); Singapore Indian Eye Study (SINDI); Chennai Urban Rural Epidemiology Study (CURES); Diabetes Genetics in Pakistan (DGP); UK Asian Diabetes Study (UKADS); Sri Lankan Diabetes Study (SLDS); RIKEN (RIKEN); BioBank Japan Project (BBJ); Asian Genetic Epidemiology Network (AGEN); European descent in the Diabetes Genetics Replication And Meta-analysis (DIAGRAM); Shanghai Diabetes Study (SDS)",MuTHER Consortium; Meta-Analyses of Glucose and Insulin-Related Traits Consortium (MAGIC),
232,25956309,127038,Xuejie,NO NAME,,
233,29325848,125685,Pilar,Psychiatric Genomics Consortium (PGC); Lundbeck Foundation Initiative for Integrative Psychiatric Research (iPSYCH),,
234,28453575,125586,Pilar,Hispanic Community Health Study (HCHS); Study of Latinos (SOL),,
235,26950853,124120,Domante,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Health, Aging, and Body Composition Study (Health ABC); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Study of Health in Pomerania (SHIP); Womens Genome Health Study (WGHS); MOnica Risk, Genetics, Archiving and Monograph (MORGAM); FINRISK (FINRISK); PRIME (PRIME); Northern Sweden Population Health Study (NSPHS); PHArmacogenetic study of Statin in the Elderly at risk (PHASE)",CHARGE,
236,26732560,124047,Domante,"Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Genetics of Early Onset Stroke (GEOS); Genetics of Early Onset Stroke (GEOS); Milano Besta Institute Stroke Study (MILANO); Risk Assessment of Cerebrovascular Events Study, Pakistan 1 (RACE 1); Risk Assessment of Cerebrovascular Events Study, Pakistan 2 (RACE 2); Stroke In Young Fabry Patients (SIFAP); Wellcome Trust Case Control Consortium 2 (WTCCC2); Australian Stroke Genetics Collaborative (ASGC); Wellcome Trust Case Control Consortium 2 (WTCCC2)",,
237,25751625,123541,Pilar,Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH),,
238,28870582,123195,Pilar,International Genomics of Alzheimer's Project (IGAP); European descent in the Diabetes Genetics Replication And Meta-analysis (DIAGRAM),,
239,19060906,121389,Domante,"Framingham Heart Study (FHS); London Life Sciences Population Study (LOLIPOP); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); The Invecchiare in Chianti (InCHIANTI); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); SardiNIA Study of Aging (SardiNIA); Malmo Diet and Cancer Study - Cardiovascular Cohort (MDC-CC); FINRISK97 (FINRISK97); Metabolic Syndrome In Men (METSIM)",,
240,26561523,120246,Xuejie,Atherosclerosis Risk in Communities Study (ARIC); British 1958 Birth Cohort Study (B58C); Blue Mountain Eye Study (BMES); Cardiovascular Health Study (CHS); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); European Prospective Investigation into Cancer (EPIC); European Prospective Investigation into Cancer (EPIC); Framingham Heart Study (FHS); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Genetic Epidemiology Network of Arteriopathy (GENOA); Gutenberg Health Study (GHS); Genetics of Overweight Young Adults (GOYA); Helsinki Birth Cohort Study (HBCS); Hunter Community Study (HCS); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Ludwigshafen Risk and Cardiovascular Health (LURIC); Marseille Thrombosis Association (MARTHA); Multi-Ethnic Study of Atherosclerosis (MESA); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Precocious Coronary Artery Disease Study (PROCARDIS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); Womens Health Initiative (WHI),CHARGE,
