In Charge,PUBMEDID,DATASETS,Consortia,NOTES
Xuejie,18454148,"Wellcome Trust Case Control Consortium (WTCCC); European Prospective Investigation into Cancer and Nutrition _ Obesity study cohort (EPIC-Obesity); Cohorte Lausannoise (CoLaus); British 1958 Birth Cohort Study (B58C); UK National Blood Donor Service (UKBS); European Prospective Investigation into Cancer (EPIC); Ely Study (Ely); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Oxford Biobank (OBB); Avon Longitudinal Study of Parents and Children (ALSPAC); Hertfordshire Cohort Study (HerCS); Exeter Family Study of Childhood Health (EFSOCH); UK Type 2 Diabetes Genetics Consortium (UK2 GCC); Dundee (Dundee); YT2DM""OXGN (YT2DM""OXGN); SardiNIA Study of Aging (SardiNIA); Cooperative Health Research in the Region of Augsburg (KORA); Nurses Health Study (NHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); UK Medical Research Council (MRC)",,
Xuejie,21300955,Atherosclerosis Risk in Communities Study (ARIC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Womens Genome Health Study (WGHS),"Can�t open supplementary doc, some cohort missing",
Xuejie,26833246,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); The Berlin Aging Study II (BASE-II); Baltimore Longitudinal Study of Ageing (BLSA); B-vitamins for the prevention of osteoporotic fractures (B-PROOF); Cardiovascular Health Study (CHS); Cohorte Lausannoise (CoLaus); COROGENE: International Studies of Infarct Survival (COROGENE); CROATIA-Vis Island Study (CROATIA-VIS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); European Prospective Investigation into Cancer and Nutrition _ Obesity study cohort (EPIC-Obesity); Erasmus Rucphen Family Study (ERF); Fels Longitudinal Study (Fels); Family Heart Study (FamHS); Fenland study (Fenland); Framingham Heart Study (FHS); Genetics of Overweight Young Adults (GOYA); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Health 2000 Study (Health 2000); Health, Aging, and Body Composition Study (Health ABC); Helsinki Birth Cohort Study (HBCS); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Johnston County Osteoarthritis Project (JOCO); Korean Genome Epidemiology Study (KoGES); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); London Life Sciences Population Study (LOLIPOP); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Osteoporotic Fractures in Men Study (MrOS); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Quebec Family Study (QFS); Relationship between Insulin Sensitivity and Cardiovascular disease (RISC); Rotterdam Study I (RS-I); Rotterdam Study III (RS-III); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); Study of Osteoporotic Fractures (SOF); Sorbs population (SORBS); UK Adult Twin Register (TwinsUK); Uppsala Longitudinal Study of Adult Men (ULSAM); Cardiovascular Risk in Young Finns Study (YFS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Health2006 Study (Health2006); Gene By Environment (GXE); SPT (SPT); Leipzig Adults (Leipzig Adults); Metabolic Syndrome In Men (METSIM); Whitehall Study (Whitehall)",,
Xuejie,27117709,"Australian Breast Cancer Family Study (ABCFS); British Breast Cancer Study (BBCS); Dutch Familial Bilateral Breast Cancer Study (DFBBCS); German Consortium for Hereditary Breast & Ovarian Cancer (GC-HBOC); UK GWAS Stage 2 (UK2); Helsinki Breast Cancer Study (HEBCS); Mammary Carcinoma Risk Factor Investigation (MARIE); Singapore and Sweden Breast Cancer Study (SASBAC); Cancer Prevention Study II (CPS-II); European Prospective Investigation into Cancer (EPIC); Multiethnic Cohort Study of Diet and Health (MEC); Nurses Health Studies II (NHS2); Polish Breast Cancer Study (PBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nurses Health Study (NHS); Breast Cancer Family Registry (BCFR); Colon Cancer Family Registry (CCFR); Genetic Epidemiologic Study of Breast Cancer by Age 50 (GESBC); Long Island Breast Cancer Study Project (LI); Seattle (Seattle); University of Southern California (USC); Australian Breast Cancer Tissue Bank (ABCTB); Melbourne Collaborative Cohort Study (MCCS); Queensland Institute of Medical Research (QIMR); Bavarian Breast Cancer Cases and Controls (BBCC); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Mammary Carcinoma Risk Factor Investigation (MARIE); Cooperative Health Research in the Region of Augsburg (KORA); Harvard Breast Cancer SPORE Blood Repository (DFCI); Fox Chase Cancer Center (FCCC); Mayo Clinic Breast Cancer Study (MCBCS); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Prospective Study of Outcomes in Sporadic Versus Hereditary Breast Cancer Study (POSH); Sheffield Breast Cancer Study (SBCS_b); Wellcome Trust Case Control Consortium (WTCCC); Amsterdam Breast Cancer Study (ABCS); Breast Cancer In Galway Genetic Study (BIGGS); Breast Cancer Study of the University Clinic Heidelberg (BSUCH); CECILE Breast Cancer Study (CECILE); Copenhagen General Population Study (CGPS); Spanish National Cancer Centre Breast Cancer Study (CNIO-BCS); California Teachers Study (CTS); Hellenic Cooperative Oncology Group (Demokritos); ESTHER Breast Cancer Study (ESTHER); Gene Environment Interaction and Breast Cancer in Germany (GENICA); Helsinki Breast Cancer Study (HEBCS); Hannover-Minsk Breast Cancer Study (HMBCS); Karolinska Breast Cancer Study (KARBAC); Kuopio Breast Cancer Project (KBCP); Australian Ovarian Cancer Study (AOCS); Leuven Multidisciplinary Breast Centre (LMBC); Mammary Carcinoma Risk Factor Investigation (MARIE); Montreal Gene-Environment Breast Cancer Study (MTLGEBCS); Multiethnic Cohort Study of Diet and Health (MEC); Nigerian Breast Cancer Study (NigBCS); Nashville Breast Health Study (NBHS); Oulu Breast Cancer Study (OBCS); Ontario Familial Breast Cancer Registry (OFBCR); Leiden University Medical Centre Breast Cancer Study (ORIGO); The Stefanie Spielman Breast Bank and the Columbus Area Control Sample Bank (OSU); Karolinska Mammography Project for Risk Prediction of Breast Cancer (pKARMA); Rotterdam Breast Cancer Study (RBCS); Roswell Park Cancer Institute (RPCI); Singapore and Sweden Breast Cancer Study (SASBAC); Sheffield Breast Cancer Study (SBCS_b); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); St_dtisches Klinikum Karlsruhe Deutsches Krebsforschungszentrum Study (SKKDKFZS); Stanford IST (IST); IHCC-Szczecin Breast Cancer Study (SZBCS); UK Breakthrough Generations Study (UKBGS); BFBOCC (BFBOCC); BIDMC (BIDMC); BMSA (BMSA); BRICOH (BRICOH); Carolina Breast Cancer Study (CBCS); Spanish National Cancer Centre (CNIO); COH (COH); CONSIT (CONSIT); DKFZ (DKFZ); DNA HEBON (HEBON); EMBRACE (EMBRACE); Fox Chase Cancer Center (FCCC); GEMO (GEMO); GEORGETOWN (GEORGETOWN); G-FaST (G-FaST); GOG (GOG); HCSC (HCSC); HUNBOCS (HUNBOCS); Heart and Vascular Health Atrial Fibrillation Study (HVH); ICO (ICO); IHCC-Szczecin Breast Cancer Study (SZBCS); INHERIT (INHERIT); IOVHBOCS (IOVHBOCS); IPOBCS (IPOBCS); Kathleen Cuningham Foundation Consortium for Research into Familial Breast Cancer (kConFab); Meta-Analyses of Glucose and Insulin-related Traits Consortium (MAGIC); McGill (McGill); MDAND (MDAND); MODSQUAD (MODSQUAD); Memorial-Sloan Kettering Lymphoproliferative disorders Study (MSKCC); MUV (MUV); NAROD (NAROD); National Cancer Institute (NCI); NNPIO (NNPIO); OCGN (OCGN); OSUCCG (OSUCCG); OUH (OUH); Polish Breast Cancer Study (PBCS); Swedish Mammography Cohort (SMC); UCSF Family Alcoholism study (UCSF); UKGRFOCR (UKGRFOCR); UPENN (UPENN); VFCTG (VFCTG); Womens Cancer Research Institute - Cedars-Sinai Medical Center (WCRI)",,
Xuejie,28115744,BioBank Japan Project (BBJ),,
Xuejie,27015805,UK Biobank (UKB),,
Xuejie,25993607,Avon Longitudinal Study of Parents and Children (ALSPAC); Baltimore Longitudinal Study of Ageing (BLSA); Brescia (Brescia); Chicago (Chicago); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Collaborative Genetic Study of Nicotine Dependence (COGEND); The Collaborative Study on the Genetics of Alcoholism (COGA); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); Finnish Twin Cohort Study (FTC); Helsinki Birth Cohort Study (HBCS); CROATIA-Korcula Study (CROATIA-KORCULA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Minnesota Center for Twin and Family Research (MCTFR); Molecular Genetics of Schizophrenia Collaboration (MGS); Nijmegen Biomedical Study (NBS); Netherlands Study of Depression and Anxiety (NESDA); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Population-based Autism Genetics and Environment Study (PAGES); Queensland Institute of Medical Research (QIMR); The Netherlands Epidemiology of Obesity Study (NEO); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Swedish Twin Registry (STR); Vis Study (VIS); Cardiovascular Risk in Young Finns Study (YFS); Generation Scotland: Scottish Family Health Study (GS:SFHS),,
Xuejie,23222517,Avon Longitudinal Study of Parents and Children (ALSPAC); The older order AMISH population studies (AMISH); Cohorte Lausannoise (CoLaus); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); GeneBank (GeneBank); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Malmo Diet and Cancer Study (MDC); Micro-isolates in South Tyrol Study (MICROS); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Queensland Institute of Medical Research (QIMR); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); UK Adult Twin Register (TwinsUK); UK National Blood Donor Service (UKBS); Cambridge BioResource (CBR); deCODE Genetics (deCODE); Ludwigshafen Risk and Cardiovascular Health (LURIC); Ogliastra Genetic Park (OGP); The Secondary Manifestations of ARTerial disease study (SMART); Cardiovascular Risk in Young Finns Study (YFS),,
Xuejie,26362575,Avon Longitudinal Study of Parents and Children (ALSPAC); Baltimore Longitudinal Study of Ageing (BLSA); Brescia (Brescia); Chicago (Chicago); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); Finnish Twin Cohort Study (FTC); Helsinki Birth Cohort Study (HBCS); CROATIA-Korcula Study (CROATIA-KORCULA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Minnesota Center for Twin and Family Research (MCTFR); Molecular Genetics of Schizophrenia Collaboration (MGS); Nijmegen Biomedical Study (NBS); Netherlands Study of Depression and Anxiety (NESDA); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Population-based Autism Genetics and Environment Study (PAGES); Queensland Institute of Medical Research (QIMR); The Collaborative Study on the Genetics of Alcoholism (COGA); Study of Addiction: Genetics and Environment (SAGE); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Swedish Twin Registry (STR); CROATIA-Vis Island Study (CROATIA-VIS); Cardiovascular Risk in Young Finns Study (YFS); Generation Scotland: Scottish Family Health Study (GS:SFHS); Collaborative Genetic Study of Nicotine Dependence (COGEND),,
Xuejie,25961943,"Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); British 1958 Birth Cohort Study (B58C); Estonian Genome Center of the University of Tartu (EGCUT); Estonian Genome Center of the University of Tartu (EGCUT); COROGENE: International Studies of Infarct Survival (COROGENE); Finnish Twin Cohort Study (FTC); Health2000 GenMets Study (GenMets); Helsinki Birth Cohort Study (HBCS); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); British 1958 Birth Cohort Study (B58C); Cardiovascular Risk in Young Finns Study (YFS)",,
Xuejie,26829030,NO NAME,,
Xuejie,23453885,NO NAME,"""assembled for previous genome-wide PGC mega-analyses of individual-level data"" not sure what to do here",
Xuejie,22693455,"Atherosclerosis Risk in Communities Study (ARIC); deCODE Genetics (deCODE); Diabetes Gene Discovery Group (DGDG); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Erasmus Rucphen Family Study (ERF); Micro-isolates in South Tyrol Study (MICROS); Orkney Complex Disease Study (ORCADES); Vis Study (VIS); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Cooperative Health Research in the Region of Augsburg (KORA); Nurses Health Study (NHS); Rotterdam Study (RS); Wellcome Trust Case Control Consortium (WTCCC); Genetics of diabetes Audit and Research (GODARTS); Malmo Diet and Cancer Study (MDC); Ely Study (Ely); Norfolk Diabetes case_control study (NDCCS)",,
Xuejie,20852632,NO NAME,didn't find SI link,
Xuejie,27659466,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); British Genetics of Hypertension study (BRIGHT); Cardiovascular Health Study (CHS); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); CROATIA-Korcula Study (CROATIA-KORCULA); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Multi-Ethnic Study of Atherosclerosis (MESA); Micro-isolates in South Tyrol Study (MICROS); Orkney Complex Disease Study (ORCADES); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); CROATIA-Split Study (CROATIA-SPLIT); UK Adult Twin Register (TwinsUK); Cardiovascular Risk in Young Finns Study (YFS),,
Xuejie,25772935,Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Early-Onset Venous Thrombosis (EOVT); Genetics In Familial Thrombosis (GIFT); Heart and Vascular Health Atrial Fibrillation Study (HVH); Marseille Thrombosis Association (MARTHA); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Womens Genome Health Study (WGHS); Etude des D_terminants/Interaction de la THrombose veineuse (EDITH); Etude des Facteurs de Risque de thrombose Veineuse (FARIVE); MARseille THrombosis Association study _2012 (MARTHA12),,
Xuejie,28067908,UK low coverage whole genome sequencing IBD study (UK Low); UK HumanCoreExome genotyped IBD study (UKHCEIBD); IIBDGC genotyped CD study (IIBDGC); NO NAME,,
Xuejie,23104005,deCODE Genetics (deCODE); NO NAME,,
Xuejie,22544366,Atherosclerosis Risk in Communities Study (ARIC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study I (RS-I); Womens Genome Health Study (WGHS); German Competence Network for Atrial Fibrillation (AFNET); Cooperative Health Research in the Region of Augsburg (KORA); CC (CC); Heart and Vascular Health Atrial Fibrillation Study (HVH); Massachusetts General Hospital Atrial Fibrillation Study (MGH); Myocardial Infarction Genetics Consortium (MIGen); Study of Health in Pomerania (SHIP); Vanderbilt Genome-Wide Association Studies (Vanderbilt),,
Xuejie,19079261,"Cohorte Lausannoise (CoLaus); SardiNIA Study of Aging (SardiNIA); European Prospective Investigation into Cancer and Nutrition _ Obesity study cohort (EPIC-Obesity); Nurses Health Study (NHS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Cooperative Health Research in the Region of Augsburg (KORA); Wellcome Trust Case Control Consortium (WTCCC); UK National Blood Donor Service (UKBS); British 1958 Birth Cohort Study (B58C); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); European Prospective Investigation into Cancer (EPIC); FINRISK (FINRISK); Metabolic Syndrome In Men (METSIM); Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP); Hertfordshire Cohort Study (HerCS); Ely Study (Ely); Rotterdam Study (RS); Northern Finnish Birth Cohort Study 1966 (NFBC1966); UK Adult Twin Register (TwinsUK); The Invecchiare in Chianti (InCHIANTI); Baltimore Longitudinal Study of Ageing (BLSA); UK Medical Research Council (MRC)",,
Xuejie,24390342,NO NAME,I couldn't find the extended figures and tables they mentioned in their study.,
Xuejie,22581228,"Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Baltimore Longitudinal Study of Ageing (BLSA); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Cohorte Lausannoise (CoLaus); The Invecchiare in Chianti (InCHIANTI); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Rotterdam Study (RS); Precocious Coronary Artery Disease Study (PROCARDIS); Sorbs population (SORBS)",MAGIC,
Xuejie,21665990,"Massachusetts General Hospital Atrial Fibrillation Study (MGH); Michigan, Mayo, Age-Related Eye Disease Study, Pennsylvania (MMAP); Myocardial Infarction Genetics Consortium (MIGen); Genetic Association Information Network (GAIN)",,
Xuejie,25429064,Shanghai Genome-Wide Association Studies (SGWAS); Korean Association Resource Project (KARE); Singapore Prospective Study Program (SP2); Singapore Malay Eye Study (SIMES); Wuhan-Beijing GWA study (WHBJ); Nutrition and Health of Aging Population in China (NHAPC); Guangxi Fangchenggang Area Male Health and Examination Survey (FAMHES); Cebu Longitudinal Health and Nutrition Survey (CLHNS); RuiJin T2D Study (RJ study); Nanjing Study (NJ Study); Cardiometabolic Risk in Chinese (CRC); Health Examinee Shared Control Study (HEXA); Singapore Chinese Eyes Study (SCES); Cardio-metabolic Genome Epidemiology Study (CAGE); Beijing genome-wide association studies (BGWAS); RIKEN (RIKEN),,
Xuejie,22472876,"Department of Psychiatry, University of Bonn (Bonn); Genetic Association Information Network (GAIN); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); GenRED (GenRED); GlaxoSmithKline (GSK); MDD2000 Study (MDD2000); Queensland Institute of Medical Research (QIMR); Munich Morphometry Sample (MPIP); RADIANT (RADIANT); STAR*D (STAR*D); deCODE Genetics (deCODE); GenPOD (GenPOD); Harvard (Harvard); Cohorte Lausannoise (CoLaus); Study of Health in Pomerania - LEGEND (SHIP-LEGEND); TwinGene Study (TwinGene); DepGenesNetworks (DepGenesNetworks); Mannheim (Mannheim)",,
Xuejie,25038754,Shanghai Breast Cancer Genetic Study (SBCGS); Taiwan Biobank (Taiwan); Hong Kong Study (HKS); Hwasun Cancer Epidemiology Study-Breast (HCES-Br); Korean Hereditary Breast Cancer study (KOHBRA); Korean Genome Epidemiology Study (KoGES); Korean-National Cancer Center Study (Korea-NCC); BioBank Japan Project (BBJ); Nagoya Study (Nagoya); Nagano (Nagano),,
Xuejie,28166213,UK Biobank (UKB),,
Xuejie,20972438,"Spanish Bladder Cancer Study (SpBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Cancer Prevention Study II (CPS-II); Genetics of Hypertension in Blacks (Nigeria); New England Bladder Cancer Study (NEBCS); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Texas Bladder Cancer Study 1 (TXBCS 1); Texas Bladder Cancer Study 2 (TXBCS 2); Nigerian Breast Cancer Study (NigBCS); Leeds Bladder Cancer Study (LBCS); Iceland AAA GWAS dataset (IBCS); Los Angeles Bladder Cancer Study (LABCS); Torino Bladder Cancer Study (TBCS); New England Bladder Cancer Study (NEBCS); French Prostate Cancer Case-Control Study (CeRePP); Zaragoza Bladder Cancer Study (ZBCS); Lutherstadt Wittenberg Bladder Cancer Study (LWBCS); Eastern European Bladder Cancer Study (EEBCS); North Carolina Bladder Cancer Study (NCBCS); Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS)",,
Xuejie,25581431,BRCA1 (BRCA1); BRCA2 (BRCA2); OCAC (OCAC); UK GWAS Stage 1 (UK1); The Mayo Clinic study (MAYO); US GWAS (US GWAS); iCOGS (iCOGS),,
Xuejie,21177295,NO NAME; Wellcome Trust Case Control Consortium (WTCCC),I think I missed the datasets for replication because I didn't find suppl file,
Xuejie,24954895,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Multi-Ethnic Study of Atherosclerosis (MESA); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Womens Genome Health Study (WGHS); Busselton Health Study (BHS); Cohorte Lausannoise (CoLaus); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); LifeLines (LifeLines); Myocardial Infarction Genetics Consortium (MIGen); Netherlands Study of Depression and Anxiety (NESDA); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Precocious Coronary Artery Disease Study (PROCARDIS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); Tracking Adolescents Individual Lives Survey (TRAILS); Cardiovascular Risk in Young Finns Study (YFS); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); Singapore Indian Eye Study (SINDI); Singapore Prospective Study Program (SP2),,
Xuejie,24162737,ACTS (ACTS); Alzheimer Disease Center 1 (ADC1); Alzheimer Disease Center 2 (ADC2); Alzheimer Disease Center 3 (ADC3); Alzheimers Disease Neuroimaging Initiative (ADNI); GlaxoSmithKline (GSK); Late Onset Alzheimers Disease Family Study (LOAD); The Mayo Clinic study (MAYO); MIRAGE (MIRAGE); Oregon Ovarian Cancer Registry (OHSU); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Translational Genomics Research Institute 2 (TGEN2); UMVUMSS (UMVUMSS); UPITT (UPITT); University of Washington (WASHU); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); EADI (EADI); GERAD (GERAD),,
Xuejie,23455636,"AMD (AMD); VRF (VRF); Blue Mountain Eye Study (BMES); UK Cambridge/Edinburgh 300k (UK Cambridge/Edinburgh 300k); UK Cambridge/Edinburgh 550k (UK Cambridge/Edinburgh 550k); deCODE Genetics (deCODE); Cooperative Health Research in the Region of Augsburg (KORA); JAREDS (JAREDS); Massachussetts Eye and Ear Infirmary (MEEI); Melbourne Collaborative Cohort Study (MCCS); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Michigan, Mayo, Age-Related Eye Disease Study, Pennsylvania (MMAP); Rotterdam Study (RS); Massachusetts General Hospital Atrial Fibrillation Study (MGH); UCSD (UCSD)",,
Xuejie,21606135,"Atherogene Registry (Atherogene); Gutenberg Health Study (GHS); Gutenberg Heart Express Study (GHSExpress); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); medSTARCARDIAC catheterization study (MedSTAR); PennCATH (PennCATH); Myocardial Infarction Genetics Consortium (MIGen); Wellcome Trust Case Control Consortium (WTCCC); Luebeck Angiographic Study (Angio-Lueb); Etude Cas-T_moin sur lInfarctus du Myocarde (ECTIM); GoKard (GoKard); Ludwigshafen Risk and Cardiovascular Health (LURIC); MOnica Risk, Genetics, Archiving and Monograph (MORGAM); The Population Genetic Cohort (POPGEN)",,
Xuejie,20418888,COROGENE: International Studies of Infarct Survival (COROGENE); deCODE Genetics (deCODE); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); Finnish Twin Cohort Study (FTC); Health2000 GenMets Study (GenMets); Cooperative Health Research in the Region of Augsburg (KORA); Cooperative Health Research in the Region of Augsburg (KORA); Nijmegen Lung and Bladder Cancer (NLBLC); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Rotterdam Study (RS); Sorbs population (SORBS); UK Adult Twin Register (TwinsUK); Wellcome Trust Case Control Consortium (WTCCC); Australia (Australia); DCLST (DCLST); Germany (Germany); NO NAME,,
Xuejie,26631737,"Three City Study (3C); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); Atherosclerosis Risk in Communities Study (ARIC); Baltimore Longitudinal Study of Ageing (BLSA); Cardiovascular Health Study (CHS); Cohorte Lausannoise (CoLaus); CROATIA-Split Study (CROATIA-SPLIT); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Framingham Heart Study (FHS); INCIPE (INCIPE); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); LifeLines (LifeLines); Multi-Ethnic Study of Atherosclerosis (MESA); Micro-isolates in South Tyrol Study (MICROS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Study of Health in Pomerania (SHIP); Study of Health in Pomerania Trend (SHIP-TREND); ESTHER Breast Cancer Study (ESTHER); Genetic Association Information Network-MDD Study (GAIN-MDD); GENDIAN (GENDIAN); Salzburg Atherosclerosis Prevention Program in subjects at High Individual Risk (SAPHIR); SKIPOGH (SKIPOGH); Vanderbilt Genome-Wide Association Studies (Vanderbilt)",,
Xuejie,22941190,Atherosclerosis Risk in Communities Study (ARIC); Bio-Repository of DNA in Stroke (BRAINS); deCODE Genetics (deCODE); Genetics of Early Onset Stroke (GEOS); Heart and Vascular Health Atrial Fibrillation Study (HVH); Ischemic Stroke Genetics Study (ISGS); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); Milano Besta Institute Stroke Study (MILANO); Rotterdam Study (RS); Wellcome Trust Case Control Consortium (WTCCC); NO NAME,,
