Cohorts,Count
Kyushu University Fukuoka Cohort Study (CAGE-Fukuoka),3
Southampton (Southampton),3
TASPRAC (TASPRAC),3
Systematic Investigation of the Molecular Causes of Major Mood Disorders and Schizophrenia (MooDS),3
Swedish Bladder Cancer Study (SwBCS),3
Krakow stroke genetics study (KRAKOW),3
Korean Osteoporosis Study at Asan Medical Center (KorAMC),3
Stroke In Young Fabry Patients (SIFAP),3
KS (KS),3
MESA/SHARe Family (MESA/SHARe Family),3
The English Longitudinal Study of Ageing (ELSA),3
Prostate Cancer Genetics Study (CaP Genes),3
IPO-Porto Prostate Cancer study (IPO-Porto),3
NeuroIMAGE (NeuroIMAGE),3
Harvard (Harvard),3
QLD (QLD),3
QTIM (QTIM),3
National Institute on Aging - Late Onset Alzheimers Disease (NIA-LOAD),3
University of Edinburgh (Edinburgh),3
National Institute on Aging (NIA),3
National Institute of Neurological Disease and Stroke (NINDS),3
RF (RF),3
Racial Variability in Genotypic Determinants of Breast Cancer Risk Study (RVGBC),3
UCLA_NL_BP (UCLA_NL_BP),3
Risk Factors for Prostate Cancer Study (RFPCS),3
NCI Lung Cancer in African Americans GWAS Consortium (NCI Lung),3
Royal Marsden Hospital Study (RMH),3
Trinity College Dublin (Trinity),3
Toronto case-control study (TCCS),3
Montreal Gene-Environment Breast Cancer Study (MTLGEBCS),3
Molecular Markers in Treatment of Endometrial Cancer (MoMaTEC),3
STAR*D (STAR*D),3
Mind Clinical Imaging Consortium (MCIC),3
The Netherlands AAA GWAS dataset (Netherlands),3
Memorial Sloan Kettering Cancer Center Gynecology Tissue Bank (MSKGTB),3
Selenium and Vitamin E Cancer Prevention Trial (SELECT),3
Malm Preventive Project (MPP),3
Shanghai Breast Cancer Genetic Study (SBCGS),3
Roche Study (Roche),3
1000 Genomes (1000 Genomes),3
CARLA (CARLA),3
Cardio-metabolic Genome Epidemiology Study - Amagasaki (CAGE-Amagasaki),3
Epidemiology & Genetics Unit Lymphoma Case-Control study  (ELCCS),3
Alzheimer Disease Genetic Consortium (ADGC),3
Alcohol Research using Australian twins and their families (OZALC),3
Airwave Health Monitoring Study (Airwave),3
Aichi Study (Aichi),3
Bipolar Disorder Research Network (BDRN),3
Bipolar Family Study (BFS),3
Bipolar Genome Study (BiGS),3
FLOS (FLOS),3
FMHS (FMHS),3
Carotene and Retinol Efficacy Trial (CARET),3
Cardiogenics Study (Cardiogenics),3
Familial Ovarian Tumor Study (FOTS),3
Biologics in Rheumatoid Arthritis Genetics and Genomics Study Syndicate (BRAGGSS),3
Candidate Gene Association Resource (CGARe),3
Canadian Childhood Cohorts (CAPPS),3
Fels Longitudinal Study (Fels),3
Finnish Cardiovascular Study (FINCAVAS),3
Finnish Colorectal Cancer Predisposition Study (FCCPS),3
Brain Genomics Superstruct Project (GSP),3
Brain Imaging Genetics (BIG),3
Framingham Osteoarthritis Study (FOS),3
French Case-Control Study (FRENCH),3
French Prostate Cancer Case-Control Study (CeRePP),3
Aarhus Osteoporosis Study (AROS),3
GENEVA Dental Caries Study (GENEVA-DCS),3
Chicago Cancer Prone Study (CCPS),3
Amish Family Osteoporosis Study (AFOS),3
Brisbane Longitudinal Twin Study (BLTS),3
Australian Asthma Genetics Consortium (AAGC),3
"BOMA-Bipolar Study, University of Bonn and CIMH Mannheim (BOMA)",3
Baltimore Breast Cancer Study (BBCS_c),3
DPS (DPS),3
Barbados National Cancer Study (BNCS),3
Danish Malignant Ovarian Tumor Study (MALOVA),3
Danish Osteoporosis Prevention Study (DOPS),3
B-vitamins for the prevention of osteoporotic fractures (B-PROOF),3
"Austrios B ""old cohort"" (AUSTRIOS-B)",3
Australian Twin Eye study (ATES),3
Beijing (Beijing),3
Beijing Atherosclerosis Study (BAS),3
Collaborative Genetic Study of Nicotine Dependence (COGEND),3
Australia Cancer Study (ACS),3
Environmental and genetic risks factors study in adult lymphoma (ENGELA),3
Attention-deficit Hyperactivity Disorder (ADHD),3
Duke Clinic (Duke),3
Cleveland Clinic GeneBank Study (CCGB),3
Cholesterol and Atherosclerosis Pharmacogenetics (CAP),3
"Asian Consortium, Colorectal Cancer Shanghai-2 (Shanghai-2)",3
Berlin Birth Cohort (BBC),3
"Asian Consortium, Colorectal Cancer Aichi 1 (Aichi-1)",3
Early Onset Prostate Cancer Study (EOPCFS),3
Edinburgh Osteoporosis Study (EDOS),3
China Atherosclerosis Study (CAS),3
Anglo-Australasian Osteoporosis Genetics Consortium (AOGC),3
Emory Genebank Study (EGS),3
Gabriel Advanced Survey (GAS),3
European Collection of Cell Cultures (ECACC),3
Geisinger Health System (GeHS),3
Bruneck study (BRUNECK),3
Gene MSA CH (Gene MSA CH),3
CAG (CAG),3
CHSH (CHSH),3
CAD (CAD),3
CHD (CHD),3
CEDARS (CEDARS),3
CAGE-KING_Quad (CAGE-KING),3
GeneBank (GeneBank),3
ADDITION study (ADDITION),3
Gottingen Research Association for Schizophrenia (GRAS),2
Bus Sante (Bus Sante),2
SKIPOGH (SKIPOGH),2
MD Anderson Cancer Center Lung Cancer Study (MDACCLC),2
Norfolk Diabetes case_control study (NDCCS),2
Chicago (Chicago),2
STANISLAS Family Study (SFS),2
Treating to New Targets (TNT),2
North Shore University Health System (NSUHS),2
GenRED (GenRED),2
Genomics Research in Cardiovascular Disease (GENRIC),2
Johns Hopkins - Genetic STudy of Atherosclerosis Risk (GeneSTAR_b),2
Tokyo Medical University Hospital (TMUH),2
Mayo Venous Thromboembolism Study (Mayo VTE),2
China Cardiovascular Health Study (CCHS_b),2
"Yoruba in Ibadan, Nigeria (YRI)",2
KSMU (KSMU),2
Mayo Clinic Endometrial Cancer Study (MECS),2
BioMe Biobank (BMBB),2
Aneurysm Consortium AAA GWAS dataset (AC),2
Sahlgrenska Academy Study on Ischemic Stroke (SAHLSIS),2
"KEMRI-Wellcome Research Programme, Kilifi (KEMRI)",2
Juvenile Diabetes Research Foundation/Wellcome Trust Diabetes and Inflammation Laboratorys British case collection (JDRF/WT),2
Saguenay-Lac-Saint-Jean asthma study (SLSJ),2
Cooperative Health Research in the Region of Augsburg F3 500K (KORA F3 500K),2
Prostate Cancer in a Black Population (PCBP),2
Johns Hopkins University (JHU),2
Childrens Health Study (CHS_b),2
Nordic Diltiazem study (NORDIL),2
Chennai Urban Rural Epidemiology Study (CURES),2
PsA (PsA),2
Epidemiology of Dementia in Singapore (EDIS),2
Danish National Patient Register (DNPR),2
Centre dEtude du Polymorphisme Humain (CEPH),2
UK Asian Diabetes Study (UKADS),2
SLO-PREVAL (SLO-PREVAL),2
UK BiLEVE Cohort Information (UKBiLEVE),2
Age and Cognitive Performance Research Cohort (ACPRC),2
Norwegian (NORWEGIAN),2
African Ancestry Prostate Cancer Consortium (AAPC),2
MD Anderson Ovarian Cancer Study (MDAOCS),2
Karelia Allergy Study  (KARELIA),2
Centre National de G_notypage (CNG),2
UK Colorectal control (UKCRC),2
SIGNAL (SIGNAL),2
African Americans Prostate Cancer Cohort (AAPC),2
Nottingham (Nottingham),2
Collaborative Atorvastatin Diabetes Study (CARDS),2
International Cancer Genome Consortium-Chronic Lymphocytic Leukemia (ICGC),2
UFO (UFO),2
European Male Ageing Study (EMAS),2
Swedish Mammography Cohort (SMC),2
UFA (UFA),2
Genetics of Brain Structure and Function (GOBS),2
Danish Psychiatric Central Register (DPCR),2
McGill (McGill),2
U.S.A. Human Biological Data Interchange (HBDI),2
Psoriasis Association Genetics Extension (PAGE),2
"Northern Ireland Young Hearts Project (YH3, YH2000)",2
Shanghai-Vanderbilt Colorectal Cancer Genetic Project (SVCRCGP),2
Irish Family Study (IFS),2
Iowa-Mayo SPORE Molecular Epidemiology Resource (Iowa-Mayo),2
SNP Health Associated Resource (SHARe),2
UCLA Consortium for Neuropsychiatric Phenomics (CNP),2
ACTS (ACTS),2
UCSD (UCSD),2
BARCOS (BARCOS),2
European American and Poland Extreme Height panels (EAPEH),2
Kansas-City Osteoporosis Study (KCOS),2
Danish Twin Registry (DTR),2
Genomic Imaging Gottingen (GIG),2
Lifestyle-Immune System-Allergy Plus Environment and Genetics Study (LISAplus),2
Long Island Breast Cancer Study Project (LI),2
Cleveland Clinic AF Study (CCAF),2
Belgian Donors (BD),2
Secondary Prevention of Small Subcortical Strokes (SPS3),2
Linz Peripheral Arterial Disease study (LIPAD),2
Swedish (SWEDISH),2
"Department of Psychiatry, University of Bonn (Bonn)",2
Cilento study (Cilento),2
Karolinska Institutet (Karolinska),2
Dutch and Belgian Lung Cancer Screening Trial (NELSON),2
Nagano Colorectal Cancer Study (NCCS),2
ECHRS (ECHRS),2
Sea Islands Genetics Network (SIGNET-REGARDS),2
Bavarian Endometrial Cancer Cases and Controls Study (BECS),2
Sweden (Sweden),2
Cholesterol and Recurrent Events (CARE_b),2
Dutch Familial Bilateral Breast Cancer Study (DFBBCS),2
Dutch Breda Study (DBS),2
Dutch Asthma GWAS study (DAG),2
Connecticut Ovary Study (COS),2
Seoul Study (Korea-Seoul),2
Taiwan Genome Wide Association Study (TGWAS),2
Lutherstadt Wittenberg Bladder Cancer Study (LWBCS),2
Lung Institute of Western Australia (LIWA),2
Malignant Ovarian Cancer Study (MaOCS),2
Australia (Australia),2
Taiwan Type 2 Diabetes Consortium (TWT2D),2
Genetic Analysis of Psoriasis Consortium (GAPC),2
Taiwan USA Diabetes Retinopathy (TUDR),2
AA (AA),2
Diabetes Genetics in Pakistan (DGP),2
Primary Open Angle Glaucoma (POAG),2
Swedish Low-Risk Colorectal Cancer Study Group (SLRCCSG),2
National Institutes of Health Genotype and Phenotype database (dbGAP),2
Dundee (Dundee),2
The Collaborative Study on the Genetics of Alcoholism (COGA),2
EMBRACE (EMBRACE),2
Leipzig Adults (Leipzig Adults),2
The Neuss Bladder Cancer Study (NeuBCS),2
Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience (Nagahama Study),2
Shanghai Study (Shanghai),2
"Antioxydants, Lipides Essentiels, Nutrition et maladies OculaiRes (ALIENOR)",2
Study of Parkinsons disease Genetics (PDG),2
The Sea Islands Genetic African American Registry (Project SuGAR),2
Korean Childhood (KoCAS),2
The Secondary Manifestations of ARTerial disease study (SMART),2
Besta Cerebrovascular Diseases Registry (CEDIR),2
The Singapore Translational and Clinical Research in Psychosis (STCRP),2
Gene and Diet Attica Investigation (GENDAI),2
Early-Onset Venous Thrombosis (EOVT),2
The Stefanie Spielman Breast Bank and the Columbus Area Control Sample Bank (OSU),2
Kathleen Cuningham Foundation Consortium for Research into Familial Breast Cancer (kConFab),2
Nigerian cohort (Nigerian),2
UK MRC Myeloma-XI (UK MRC Myeloma-XI),2
Suita Study (Suita),2
Chinese University of Hong Kong Diabetes Study (CUHKDS),2
EMIL (EMIL),2
Asian Cancer Project (ACP),2
The Colorectal Transdisciplinary Study (CORECT),2
The Dortmund Bladder Cancer Study (DBCS),2
Leiden 85-plus study (L85PLUS),2
CCPC (CCPC),2
Aspirin for Asymptomatic Atherosclerosis Study (AAA),2
Asklepios Study (Asklepios),2
Leeds (Leeds),2
Scottish Randomised Trial in Ovarian Cancer (SRTOC),2
Late Onset Alzheimers Disease Family Study (LOAD),2
Malaysia Ovarian Cancer Genetic Study (MyOvCa),2
"Department of Neurology, Medical University of Vienna (DNMUV)",2
The Lutherstadt Wittenberg study (LW),2
Autism Genetic Resource Exchange (AGRE),2
The National Cancer Institute Breast and Prostate Cancer Cohort Consortium (BPC3),2
EPOLOS (EPOLOS),2
UK MRC Myeloma-IX (UK MRC Myeloma-IX),2
Africa America Diabetes Mellitus (AADM),2
African American Breast Cancer Cohort (AABC),2
PANSCAN (PANSCAN),2
Molecular Genetics of Schizophrenia Collaboration (MGS-US),2
Brisbane Twin Nevus Study (BTNS),2
PCFS (PCFS),2
Aarhus (Aarhus),2
COIN-B (COIN-B),2
DNA HEBON (HEBON),2
GEMO (GEMO),2
NGRC (NGRC),2
"Research Program on Genes, Environment and Health (RPGEH)",2
Harvard Lung Cancer Study (HLCS),2
Genetics Network Rheumatology Amsterdam (GENRA),2
Westphalian Stroke Register (WSR),2
COIN (COIN),2
AXIOM (AXIOM),2
Beaver Dam Eye Study (BDES),2
GABRIELA (GABRIELA),2
Aberdeen Prospective Osteoporosis Screening Study (APOSS),2
Columbia (Columbia),2
Health2 T2D Study (H2T2DS),2
AddNeuroMed (ANM),2
CSGA (CSGA),2
Gedling (Gedling),2
Wisconsin Sleep Cohort (WSC),2
Oxford Endometriosis Gene (OXEGENE),2
"Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE )",2
"COPD Pathology: Adressing Critical gaps, Early Treatment & diagnosis and Innovative Concepts (COPACETIC)",2
British Heart Foundation Family Heart Study (BHF-FHS),2
NHANES (NHANES),2
Fuchs Endothelial Corneal Dystrophy Controls (FECD),2
University of Tuebingen (Tuebingen),2
Healthy Lifestyle in Europe by Nutrition in Adolescence study (HELENA),2
Reykjavik Eye Study (RES),2
University of Warwick (Warwick),2
Fukuoka Colorectal Cancer Study (FCCS),2
GENNET (GENNET),2
Registry of Endometrial Cancer in Sweden (RENDOCAS),2
Molecular Epidemiology of Colorectal Cancer Study (MECC),2
Australian Twin Registry (ATR),2
Breast Cancer Family Study (MBCFS),2
NC (NC),2
Warren 2 Consortium (W2C),2
Warsaw Ovarian Cancer Study (WOCS),2
Diabetes UK Warren repository (DUKW),2
Shanghai Jiao Tong University Diabetes Study (SJTUDS),2
GROS (GROS),2
MUNICH stroke study (MUNICH),2
Brescia (Brescia),2
Group Health (GH),2
West of Scotland Coronary Prevention Study (WOSCOPS),2
Brigham Rheumatoid Arthritis Sequential Study (BRASS),2
Physicians Health Study I (PHSI),2
GoKard (GoKard),2
ALS Study (ALS),2
"BIG replication and Trinity College Dublin/ National University of Ireland, Galway (NUIG-TCD)",2
Pelvic Mass Study (PMS),2
MIRAGE (MIRAGE),2
WHII (WHII),2
Valencia Institute of Oncology (VIO),2
ARYA (ARYA),2
PRIME (PRIME),2
National Cancer Center Hospital (NCCH),2
HYPEST (HYPEST),2
Mount Sinai Hospital (MSH),2
GEVUR (GEVUR),2
iPSYCH (iPSYCH),2
Paprika (Paprika),2
ARCAGE (ARCAGE),2
Parkinsons Research: The Organized Genetics Initiative (PROGENI),2
Ragama Health Study (RHS),2
Vlagtwedde/Vlaardingen Cohort study (VVC),2
Partners study (Partners),2
Diabetes in Mexico Study (DMS),2
Genetic Resource Investigating Diabetes (GRID),2
Sri Lankan Diabetes Study (SLDS),2
Intermountain Heart Collaborative Study (IHCS),2
UKBEC (UKBEC),2
Beijing Type 2 Diabetes Studies (BTDS),2
Dr. Horst Schmidt Kliniken (DHSK),2
OSUCCG (OSUCCG),2
BEL1 (BEL1),2
NIMH Intramural Research Program (NIMH-IRP),2
Miami Stroke Registry and Biorepository (MIAMISR),2
Womens Health Initiative Genome-wide Association Research Network into Effects of Treatment (WHI-GARNET),2
UMCU (UMCU),2
nonGAIN (nonGAIN),2
Case Western Reserve University (CWRU),2
SARP (SARP),2
Shanghai DIabetes Inpatient Database (SDIID),2
UPENN (UPENN),2
CATHGEN (CATHGEN),2
Womens Health Initiative GeCHIP (WHI-GeCHIP),2
Icelandic cohort (Icelandic),2
UK-CLL (UK-CLL),2
Ghana Prostate (Ghana Prostate),2
Illumina iControlDB (Illumina iControlDB),2
Malaysian Breast Cancer Genetic Study (MYBRCA),2
Nottingham Smokers (Nottingham Smokers),2
BASe de datos de ICtus del hospital del MAR (BASICMAR),2
GenNOVA (GenNOVA),2
Psychiatric GWAS Consortium (PGC),2
Danish Longevity Study (DLS),2
UK Small Aneurysm Trial (UKSAT),2
Genetic Epidemiologic Study of Breast Cancer by Age 50 (GESBC),2
UK Testicular Cancer Collaboration (UKTCC),2
OAS (OAS),2
Indiana University premenopausal Caucasian women peak BMD study (Indiana),2
UK Young Lacunar Stroke DNA resource (DNA_lacunar),2
Indiana Genetics of Bone Fragility Study (IGBFS),2
OCAC (OCAC),2
UK lung cancer GWAS from the Institute for Cancer Research (ICR-GWAS),2
Mid-America Heart Institute (MAHI),2
Stanley study (Stanley),2
Rotterdam (Rotterdam),2
Royal Marsden Hospital Breast Cancer Cases (RMH-BCC),2
Hwasun Cancer Epidemiology Study-Breast (HCES-Br),2
Calex-family (CALEX-FAM),2
BEL2 (BEL2),2
Singapore Breast Cancer Cohort (SGBCC),2
University Medical Center Utrecht (UMC),2
St. Georges Hospital (STGEORGE),2
AIDS Clinical Trials Group (ACTG),2
Hospital Universitari Vall dHebron  (HUVH),2
Hospital Discharge Register Sweden (HDR),2
Singapore Cardiovascular Cohort Study (SCCS2),2
St G_ran Bipolar Project (SGBP),2
"Glasgow, Scotland ImmunoChip Study Samples (GSICSS)",2
University of Bergen Norway Study (UBNS),2
Ovarian Cancer Prognosis and Lifestyle Study (OPAL),2
University of Chicago (UC),2
Hwasun Cancer Epidemiology Study-Colon and Rectum Cancer (HCES-CRC),2
ADONIX (ADONIX),2
INTERSTROKE (INTERSTROKE),2
Royal Marsden Hospital Ovarian Cancer Study (RMH-OCS),2
Familial Breast Cancer Study (FBCS),2
INTERGENE (INTERGENE),2
Middlesex County Ischemic Stroke Study (MCISS),2
Cantabria Osteoporosis Case-control (CABRIO-CC),2
Geelong Osteoporosis Study (GOS),2
IMpACT (IMpACT),2
Milan Breast Cancer Study Group (MBCSG),2
Dallas Heart Study (DaHS),2
Oregon-Sudden Unexpected Death Study (Oregon-SUDS),2
Stanford IST (IST),2
Polish Endometrial Cancer Study (PECS),2
Osaka Acute Coronary Insufficiency Study (OACIS),2
Cambridgeshire Case-Control Study (CCCS),2
Osteoarthritis Initiative (OAI),2
Bone Mineral Density in Childhood Study (BMDCS),2
CC (CC),2
Que_bec founder population (QFP),1
Shanghai Mens and Shanghai Womens Health Studies (SMWHS),1
Singapore Chinese Study (SCH),1
CANADA II (CANADA II),1
BRCA1 (BRCA1),1
BRCA2 (BRCA2),1
Singapore National Health Survey (NHS98),1
BRCDECC (BRCDECC),1
BREATHE (BREATHE),1
Singapore Indian Chinese Cohort (SICC),1
BRICOH (BRICOH),1
BSN (BSN),1
BSS (BSS),1
Barry Caerphilly Growth Study (BCG),1
Simons Simplex Collection (SSC),1
Sikh GWAS (Sikh),1
SiGN (SiGN),1
Shenyang Lung Cancer Study (SLCS),1
Barcelona (Barcelona),1
Shanxi UGI Cancer Genetics Project (Shanxi),1
Prospective Evaluation and Risk Assessment (OPPERA),1
BayerScheringPharma (BayerScheringPharma),1
CAGS (CAGS),1
Shanghai Jiao Tong University (SJTU),1
STRUCTURE analysis (STRUCTURE),1
Baylor College of Medicine (BCM),1
SCORE (SCORE),1
Brain Development and Air Pollution Ultrafine Particles in School Children (BDAPUSC),1
Botnia Study (BOTS),1
Boston Early-Onset COPD Study (BEOCOPD),1
Rotterdam Eye Study (RotES),1
Rotterdam Ovarian Cancer Study (ROCS),1
Boston (Boston),1
Royal Brisbane Hospital (RBH),1
"Blantyre-Wellcome Trust Project in Blantyre, Malawi (Blantyre)",1
Royal North Shore Hospital Twins Study (RNSHTS),1
RuiJin T2D Study (RJ study),1
Puerto Rico (Puerto Rico),1
Rural cohort (Rural),1
SA (SA),1
SAFOS (SAFOS),1
SANQUIN (SANQUIN),1
SAS (SAS),1
Psychosis Endophenotype Consortium (PEC),1
Pumwani Sex Workers Cohort (PSWC),1
"Reykjaviks University Hospital or the General Hospital, Akureyri (RUHA)",1
Residence Assessment Instrument (RAI),1
Breast Cancer Family Registry (BCFR),1
Queensland Twin and Family Registry (QTR),1
Breast ER (Breast ER),1
RA (RA),1
RAAK (RAAK),1
Breast Cancer Study in Taiwan (BCST),1
Breast Cancer Family Registry Canada (BCFR-CA),1
Breast Cancer Family Registry California (BCFR-NCA),1
Raine Eye Health Study (REHS),1
Research on Osteoarthritis Against Disability (ROAD),1
Breast Cancer Association Consortium (BCAC),1
Regensburg (Regensburg),1
Registre Gironi del COR (REGICOR),1
Breast (DRIVE),1
Brazilian Cohort (Brazil),1
BrainSCALE (BrainSCALE),1
Research on Adolescent Development and Relationships (Radar),1
SCCHN (SCCHN),1
SEED (SEED),1
Beat-AF (Beat-AF),1
SEVERE (SEVERE),1
Schizophrenia Genetics Initiative (SGI),1
Scotland and Newcastle Lymphoma Group (SNLG),1
Scottish Randomised Trial in Ovarian Cancer (SCOTROC),1
CAD-Erlangen study (CAD-Erlangen),1
"Screening Across the Lifespan Twin survey, Younger cohort (SALTY)",1
Sea Islands Genetics Network (SIGNET),1
Sea Islands Genetics Network (SIGNET-Sea Islands),1
Seattle (Seattle),1
Seattle Familial Colorectal Cancer Registry (SFCCR),1
Belgian Case Control Study of Bladder Cancer (BSBC),1
Semi-Structured Assessment for Genetics of Alcoholism (SSAGA),1
Belfast Elderly Longitudinal Free-living Ageing Study (BELFAS),1
Seoul National University Hospital Diabetes Study (SNUHDS),1
Severe Childhood Onset Obesity Project United Kingdom (SCOOP-UK),1
Prostate (ELLIPSE),1
Beijing genome-wide association studies (BGWAS),1
Shanghai Endometrial Cancer Study (SECGS),1
Scania Diabetes Registry (SDR),1
Berlin_Frankfurt_Mªnster trials (BFM),1
Saudi Newborn Cohort (Saudi),1
SLSI (SLSI),1
SEY (SEY),1
SF1 (SF1),1
SF2 (SF2),1
SHEFFIELD (SHEFFIELD),1
SIGMA (SIGMA),1
SLE (SLE),1
BPAD (BPAD),1
SNUH (SNUH),1
San Francisco City Clinic Cohort (SFCCC),1
SORCE (SORCE),1
SPHFC (SPHFC),1
Bipolar Disorder Genetic Association Information Network (GAIN-BP),1
SRS (SRS),1
Bipolar Affective Case Control Study (BACCS),1
Biobank study (MNDA),1
BiPAS (BiPAS),1
Sisters Study (Sisters),1
Genetic Studies in Nuclear Families with Atopic Dermatitis (GENUFAD),1
Skin Cancer Nested Case-Control Study (SCNCCS),1
University of Colorado Health Center/National Jewish Research Center and Arkansas Childrens Hospital (NJRCACH),1
United Kingdom Rheumatoid Arthritis Genetics (UKRAG),1
United Kingdom case-series (HN5000),1
Adenocarcinoma (Adenocarcinoma),1
"University Health Network, Toronto, Canada (TOR)",1
University Hospital of Helsinki (UHH),1
University Hospital of Kuopio (UHK),1
University Hospital of Liege (UHL),1
"University Hospital, Uppsala (UHU)",1
University of Aberdeen (Aberdeen),1
University of Amsterdam (Amsterdam),1
"University of Bamako, Mali (Bamako)",1
University of Buea (Buea),1
Adelaide Blood Pools (ABP),1
United Kingdom Colorectal Adenoma Prevention (UKCAP),1
University of Melbourne (AMDTDSS),1
University of Michigan study (Michigan),1
University of Minnesota study (UMN),1
University of North Carolina (UNC),1
University of North Carolina CanCORS study (UNCCanCORS),1
University of Noth Carolina Rectal Cancer Study (UNC-Rectal),1
Adachi (Adachi),1
Acute Myocardial Infarction Gene Study/Dortmund Health Study (AMI),1
University of Utrecht (Utrecht),1
University of Wisconsin-Transdisciplinary Tobacco Use Research Cente (UW-TTURC),1
University of _unster (Unster),1
Utah Cervical Artery Dissection Collection (UCADC),1
United Kingdom Graves disease cohort (UKGDC),1
Umea Genetics of Obesity (UGO),1
Utrecht Cannabis Cohort (UCC),1
UMVU (UMVU),1
"Affective Center at St Goran Hospital, Stockholm (ACSGH)",1
UK SEARCH Ovarian Cancer Study (SEARCH-OCS),1
Advanced Study of Aortic Pathology (ASAP),1
Adenoma Prevention with Celecoxib (APC),1
UK low coverage whole genome sequencing IBD study (UK Low),1
UKCVD (UKCVD),1
UKGRFOCR (UKGRFOCR),1
UKIBDGC (UKIBDGC),1
UKMI (UKMI),1
UKPDS study (UKPDS),1
UK_AD (UK_AD),1
UM/VU/MSSM (UM/VU/MSSM),1
UMVUMSS (UMVUMSS),1
Ume (Ume),1
UNAM/INCMNSZ Diabetes Study (UIDS),1
UP (UP),1
UPITT (UPITT),1
US GWAS (US GWAS),1
US NIH CoFAR EoE cohort (USNIHFAREE),1
US PA GWAS dataset (USPA),1
US Radiologic Technologist Study (USRT),1
US military HIV Natural History Study (US-HIV-NHS),1
USA2_AD (USA2_AD),1
USA_AD (USA_AD),1
UVRIGPC (UVRIGPC),1
"UWA, LEI & Flinders (UWALF)",1
Utah/Sheffield Chronic Lymphocytic Leukemia Collaborative Study (UTAH-SHEFFIELD),1
Utrecht Health Project (UHP),1
Sleep Heart Health Study (SHHS),1
"YT2DM""OXGN (YT2DM""OXGN)",1
AIDS Linked to the IntraVenous Experience (ALIVE),1
Womens Antioxidant Cardiovascular Study (WACS),1
Womens Cancer Program at the Samuel Oschin Comprehensive Cancer Institute (WCPSOCCI),1
ADELAHYDE/Nancy/ERA-France (ADELAHYDE),1
Womens Health Initiative - randomized clinical trial (WHI-CT),1
Womens Health Initiative Memory Study (WHI-MS),1
AD-IG (AD-IG),1
Womens Insights and Shared Experiences study (WISE),1
Wuhan Diabetes Study (WDS),1
Wuhan Lung Cancer Study (WLCS),1
Wuhan-Beijing GWA study (WHBJ),1
YMCA (YMCA),1
ACT (ACT),1
Westmead Institute for Cancer Research (WICR),1
Young Adult Hodgkins Disease Case_Control Study (YAHD),1
Yunnan Lung Cancer Study (YLCS),1
Zaragoza Bladder Cancer Study (ZBCS),1
AASC (AASC),1
dbSNP version 130 (dbSNP130),1
dbSNP version 132 (dbSNP132),1
A. Gemelli University Hospital of Rome (AGUHR),1
iCOGS (iCOGS),1
loW (loW),1
"A Sygros Hospital, Athens (Sygros)",1
miRBase database (miRBase),1
sp1M (sp1M),1
AITD Autoimmune thyroid disease (AITD),1
Westmead (Westmead),1
"Utrecht, The Netherlands ImmunoChip Study Samples (UNISS)",1
ANZ (ANZ),1
VFCTG (VFCTG),1
VHIR-FMT-Barcelona (VHIR-FMT-Barcelona),1
ATFS (ATFS),1
VRF (VRF),1
ASTARRS (ASTARRS),1
Valais (Valais),1
Vantaa85+ (Vantaa85+),1
ARIADNE (ARIADNE),1
Viborg Country AAA screening program (VCAAA),1
"Viborg Hospital, Denmark (Viborg)",1
Virginia Cervical Artery Dissection (VCAD),1
AP-HP (AP-HP),1
Vobarno Study (Vobarno),1
Western Australian Melanoma Health Study (WAMHS),1
ANRS PRIMO Cohort (ANRS PRIMO),1
WT2-United Kingdom (WT2),1
WU (WU),1
WUGS (WUGS),1
ANRS CO18 (ANRS CO18),1
ANR (ANR),1
ANGES (ANGES),1
AMU (AMU),1
Weiss Laboratory Autism Collection (WLAC),1
AMD (AMD),1
Wessex family study (Wessex),1
Western Australian HIV Cohort Study (WAHCS),1
UK Nephropathy Family Study and Oxford Regional Prospective Study (NFS-ORPS/Cambridge),1
UK National MND DNA (UKMND),1
UK National Health Service Trusts (UKHST),1
Australian NHMRC program (NHMRC),1
Sweden Bipolar Disorder Cohort (SWEBIC),1
Sweden Western Region Ovarian Cancer Study (SWE),1
Autism Centre of Excellence (ACE),1
Swedish National Myeloma Biobank (SNMB),1
Autism CaseControl cohort (ACC),1
Swiss HIV Cohort Study (SHCS),1
Swiss Memory Genetics Study (Swiss MGS),1
Sydney (Sydney),1
Austrios A (AUSTRIOS-A),1
TACT (TACT),1
TAHS (TAHS),1
TARCC (TARCC),1
TCAD (TCAD),1
Subpopulations and intermediate outcome measures in COPD study (SPIROMICS),1
TCAGEN (TCAGEN),1
Australian Melanoma Family Study (AMFS),1
TENOR (TENOR),1
TERRE (TERRE),1
TLGS (TLGS),1
TURD (TURD),1
Australia ATM (ATM),1
Taiwan Han Chinese Cell and Genome Bank (THCCGB),1
Prospect (Prospect),1
Tampa Bay Ovarian Cancer Study (TBOCS),1
AtheroRemo 2 (AtheroRemo 2),1
Tandem (Tandem),1
Suzhou Study (Suzhou),1
Study of the Effectiveness of Additional Reductions in Cholesterol and Homocysteine (SEARCH_b),1
UK HumanCoreExome genotyped IBD study (UKHCEIBD),1
BFBOCC (BFBOCC),1
South Korea Multi-Center Lung Cancer Study (SKLCS),1
BMSA (BMSA),1
BIOX (BIOX),1
